sourceDOI,reusedDOI,type,comment,sourceReference,alternativeID,sourceReferenceDetail,contributor
"10.1145/3368089.3409717","10.1145/2568225.2568233","Methodology","replication of 7","7","","","neilernst"
"10.1145/3368089.3409717","10.1145/2568225.2568233","Tool","survey instrument of 7","7","","","neilernst"
"10.1145/3368089.3409717","10.1007/978-1-84800-044-5_3","Methodology","personal opinion surveys","kitchenham and pffleeger 2008","","","neilernst"
"10.1145/3368089.3409717","10.1007/978-1-84800-044-5_3","Methodology","opinion surveys Kitchenham and Pfleger 2008","44","","","bhermann"
"10.1145/3368089.3409717","10.1145/2568225.2568233","Methodology","replication of 7","7","","","bhermann"
"10.1145/3368089.3409717","10.1145/2568225.2568233","Tool","survey instrument of 7","7","","","mtbaldassarre"
"10.1145/3368089.3409717","10.1007/978-1-84800-044-5_3","Methodology","opinion surveys","44","","","mtbaldassarre"
"10.1145/3368089.3409695","10.1109/SCAM.2012.20","Methodology","replication including some data","8	","","","neilernst"
"10.1145/3368089.3409695","10.1145/3180155.3180206","Tool","find refacotrings RMiner","47	","","","neilernst"
"10.1145/3368089.3409695","","Tool","Issues with Perceval","4	","https://github.com/chaoss/grimoirelab-perceval","","neilernst"
"10.1145/3368089.3409695","10.1109/ICSM.2003.1235403","Methodology","link commits and bugs (old ref)","25	","","","neilernst"
"10.1145/3368089.3409695","10.1109/ICSM.2003.1235403","Methodology","link commits and bugs (old ref)","25	","","","neilernst"
"10.1145/3368089.3409695","10.1145/3340482.3342742","Tool","SZZ Unleashed","13","","","neilernst"
"10.1145/3368089.3409695","","Tool","lme4","7","arXiv:1406.5823","","neilernst"
"10.1145/3368089.3409695","10.1109/SCAM.2012.20","Methodology","replication of","[8]","","","bhermann"
"10.1145/3368089.3409695","10.1145/3180155.3180206","Tool","RMiner ","[47]","https://github.com/tsantalis/RefactoringMiner","","bhermann"
"10.1145/3368089.3409695","10.1109/ICSM.2003.1235403","Methodology","regular expression based linking","([25] Fisher et al. 2003)","","","bhermann"
"10.1145/3368089.3409695","10.1145/3183440.3183475","Tool","Perceval","[4]","https://github.com/chaoss/grimoirelab-perceval","","bhermann"
