gh_id, paper_doi, reuse_type, comment, citation_number, reused_doi, alt_url, page_num,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,Dropout,[14],,https://www.cs.toronto.edu/~hinton/absps/JMLRdropout.pdf,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,GAN,[9],https://doi.org/10.1145/3238147.3238187,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,GAN,[8],,https://proceedings.neurips.cc/paper/2014/file/5ca3e9b122f61f8f06494c97b1afccf3-Paper.pdf,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,Adam,[19],https://arxiv.org/abs/1412.6980,,p7,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,DECART,[12],https://doi.org/10.1007/s10664-017-9573-6,,p7,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410677,method,DeepPerf,[15],https://doi.org/10.1109/ICSE.2019.00113,,p7,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,ML-REP,[39],https://doi.org/10.1109/ASE.2011.6100061,,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,DL-BiMPM,[53],,https://export.arxiv.org/pdf/1702.03814v2,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,IR-TF,[36],https://doi.org/10.1109/ICSE.2007.32,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,IR-DBTM,[30],https://doi.org/10.1145/2351676.2351687,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,ML-ADMA,[40],https://doi.org/10.1145/1806799.1806811,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,ML-BugSim,[57],https://doi.org/10.1145/2396761.2396869,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,DL-DCNN,[38],https://doi.org/10.1145/2766462.2767738,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,DL-MALSTM,[29],,https://dl.acm.org/doi/10.5555/3016100.3016291,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,DL-CWEIR,[55],https://doi.org/10.1109/ISSRE.2016.33,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,DL-CRNN,[12],https://doi.org/10.1109/ICSME.2017.69,,p4,,,,
