gh_id, paper_doi, reuse_type, comment, citation_number, reused_doi, alt_url, page_num
afonsohfontes,https://doi.org/10.1145/3368089.3409682,tool,SmartThings,[69],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409687,dataset,dbgbench,[13],https://doi.org/10.1145/3106237.3106255,,
afonsohfontes,https://doi.org/10.1145/3368089.3409687,method,fuzzer,[18],https://doi.org/10.1109/ASE.2019.00027,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,dataset,Rico,[15],https://doi.org/10.1145/3126594.3126651,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,EAST,[55],https://doi.org/10.1109/CVPR.2017.283,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,ResNet50,[24],https://doi.org/10.1109/CVPR.2016.90,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,Faster RCNN,[40],https://doi.org/10.1109/TPAMI.2016.2577031,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,YOLOv2,[38],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,CenterNet,[17],https://doi.org/10.1109/ICCV.2019.00667,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,REMAUI,[43],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,method,Xianyu,[52],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409691,tool,Tesseract,[42],https://doi.org/10.1109/ICDAR.2007.4376991,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,method,AppFlow,[23],https://doi.org/10.1145/3236024.3236055,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,method,CraftDroid,[25],https://doi.org/10.1109/ASE.2019.00015,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,method,ATM,[21],https://doi.org/10.1109/ASE.2019.00016,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,method,GTM,[20],https://doi.org/10.1145/3213846.3213854,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,tool,Appium,[2],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409708,tool,Soot,[11],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,dataset,,[37],https://doi.org/10.1109/TSE.2016.2584063,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,dataset,MerArbiter,[40],https://doi.org/10.1145/2338965.2336771,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,method,Green,[35],https://doi.org/10.1145/2393596.2393665,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,method,,[24],https://doi.org/10.1007/s10515-013-0122-2,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,method,JBMC,[11],https://doi.org/10.1007/978-3-319-96145-3_10,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,tool,Wala,[17],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409734,tool,Z3,[12],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409737,method,,[12],https://doi.org/10.1145/2001420.2001452,,
afonsohfontes,https://doi.org/10.1145/3368089.3409737,method,,[13],https://doi.org/10.1109/TSE.2011.121,,
afonsohfontes,https://doi.org/10.1145/3368089.3409737,tool,,[5],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409737,tool,,[4],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,,[17],https://doi.org/10.1007/3-540-49538-X_5,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,Dynamic features,[58],https://doi.org/10.1007/978-3-030-02768-1_4,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,TamiFlex,[11],https://doi.org/10.1145/1985793.1985827,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,Jax,[61],https://doi.org/10.1145/320385.320414,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,JRed,[30],https://doi.org/10.1109/COMPSAC.2016.146,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,method,ProGuard,[6],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,tool,Soot,[64],https://doi.org/10.1145/1925805.1925818,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,tool,ASM,[12],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,tool,JVM TI API,[3],,,
afonsohfontes,https://doi.org/10.1145/3368089.3409738,tool,BigQuery API,[2],,,
