gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,time
anjiperera,https://doi.org/10.1145/3377811.3380373,method,judgement study,57,10.1145/3241743,,3,45
anjiperera,https://doi.org/10.1145/3377811.3380373,dataset,ASTRail was the case study,footnote 1,,http://astrail.eu/,"2,3",
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,UMC,footnote 5,,http://fmt.isti.cnr.it/umc/V4.8/umc.html,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,UPPAAL SMC,footnote 6,,http://people.cs.aau.dk/~adavid/smc/,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,Atelier B - Free community edition available,footnote 7,,https://www.atelierb.eu/en/,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,ProB,footnote 8,,https://www3.hhu.de/stups/prob,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,NuSMV - extended in [21],21,10.1007/978-3-319-10575-8,http://nusmv.fbk.eu,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,SPIN,footnote 12,,http://spinroot.com/spin/whatispin.html,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,CADP - free academic license,footnote 13,,https://cadp.inria.fr,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,tool,FDR4 -free academic and research license,footnote 14,,https://www.cs.ox.ac.uk/projects/fdr/,4,
anjiperera,https://doi.org/10.1145/3377811.3380373,method,Thematic analysis,58,10.1111/nhs.12048,,6,
anjiperera,https://doi.org/10.1145/3377811.3380367,tool,Pin framework,37,10.1145/1065010.1065034,,2,25
anjiperera,https://doi.org/10.1145/3377811.3380367,method,lock dependency,6,10.1109/TSE.2014.2301725,,2,
anjiperera,https://doi.org/10.1145/3377811.3380367,method,lock dependency,29,10.1145/1542476.1542489,,2,
anjiperera,https://doi.org/10.1145/3377811.3380367,stepping stones,UNDEAD,54,10.1109/ASE.2017.8115684,,7,
anjiperera,https://doi.org/10.1145/3377811.3380367,stepping stones,MAGICLOCK,6,10.1109/TSE.2014.2301725,,"1,7",
anjiperera,https://doi.org/10.1145/3377811.3380367,tool,Stress testing tool ,footnote 6,,https://github.com/akopytov/sysbench,9,
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,Udacity,47,,https://github.com/udacity/self-driving-car-sim,2,30
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,DAVE-2,9,,arxiv:1604.07316,6,
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,Epoch,41,,https://github.com/udacity/self-driving-car/tree/master/steering-models/community-models/cg23,6,
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,Chauffeur,40,,https://github.com/udacity/self-driving-car/tree/master/steering-models/community-models/chauffeur,6,
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,Unity3D snow mountain track,46,,https://assetstore.unity.com/packages/3d/environments/roadways/mountain-race-track-53775,6,
anjiperera,https://doi.org/10.1145/3377811.3380353,tool,Unity3D particle system,32,,https://docs.unity3d.com/ScriptReference/ParticleSystem.html,7,
anjiperera,https://doi.org/10.1145/3377811.3380353,stepping stones,re-implemented since tool is not publicly available,55,10.1145/3238147.3238187,,8,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,"JGenProg, JKali, JMutRepair",38,10.1145/2931037.2948705,,4,35
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,Cardumen,39,10.1007/978-3-319-99241-9_3,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,DynaMoth,8,10.1109/AST.2016.021,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,Nopol,64,10.1109/TSE.2016.2560811,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,ACS,63,10.1109/ICSE.2017.45,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,SimFix,15,10.1145/3213846.3213871,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,kPAR,29,10.1109/ICST.2019.00020,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,FixMiner,19,10.1007/s10664-019-09780-z,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,AVATAR,30,10.1109/SANER.2019.8667970,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,TBar,31,10.1145/3293882.3330577,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,"ARJA, GenProg-A, Kali-A, RSRepair-A",67,10.1109/TSE.2018.2874648,,4,
anjiperera,https://doi.org/10.1145/3377811.3380338,dataset,Defects4J,16,10.1145/2610384.2628055,,5,
anjiperera,https://doi.org/10.1145/3377811.3380338,metric,Ochiai ranking metric,1,10.1109/TAIC.PART.2007.13,,5,
anjiperera,https://doi.org/10.1145/3377811.3380338,tool,GZoltar v1.7.2,,,https://github.com/GZoltar/gzoltar/releases/tag/v1.7.2,5,
anjiperera,https://doi.org/10.1145/3377811.3380338,metric,efficiency metric,47,10.1145/2483760.2483785,,6,
anjiperera,https://doi.org/10.1145/3377811.3380336,method,"SLR guidelines, Kitchenham et al.",34,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.117.471&rep=rep1&type=pdf,3,30
anjiperera,https://doi.org/10.1145/3377811.3380336,method,survey guidelines,30,,The Survey Research Handbook,3,
anjiperera,https://doi.org/10.1145/3377811.3380336,method,puposive sampling frame,44,,"Impact Evaluation of Smoke-Free Mass Media Campaign On Knowledge, Attitude and Behavior of the Target Audience In India",4,
anjiperera,https://doi.org/10.1145/3377811.3380336,method,grounded theory,,10.1145/2884781.2884833,,6,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,BERT,6,10.18653/v1/N19-1423,,4,40
anjiperera,https://doi.org/10.1145/3377811.3380924,method,,18,,https://aclanthology.org/N04-1020.pdf,4,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,,19,,https://dl.acm.org/doi/10.5555/1622572.1622576,4,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,USE,2,,arxiv:1803.11175,6,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,en_core_web_lg,footnote 7,,https://spacy.io/models/en,7,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,GloVe,31,10.3115/v1/D14-1162,,8,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,Adam Optimiser,15,,arxiv:1412.6980,8,
anjiperera,https://doi.org/10.1145/3377811.3380924,tool,Common Crawl,footnote 8,,https://commoncrawl.org/,8,
anjiperera,https://doi.org/10.1145/3377811.3380924,method,Negative Sampling,23,,https://dl.acm.org/doi/10.5555/2999792.2999959,8,
anjiperera,https://doi.org/10.1145/3377811.3380359,tool,FPGen,footnote 8,,https://github.com/ucd-plse/FPGen,8,20
