gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,time
anjiperera,https://doi.org/10.1145/3377811.3380350,method,queue-based model checker for the testing procedure,27,10.1145/263699.263717,,1489,35
anjiperera,https://doi.org/10.1145/3377811.3380350,tool,QEMU,12,,https://doi.org/10.5555/1247360.1247401,1490,
anjiperera,https://doi.org/10.1145/3377811.3380350,tool,CrashMonkey,41,,https://doi.org/10.5555/3154601.3154607,1490,
anjiperera,https://doi.org/10.1145/3377811.3380350,stepping stones,Syzkaller (informal comparison),5,,https://github.com/google/syzkaller,1491,
anjiperera,https://doi.org/10.1145/3377811.3380350,stepping stones,CrashMonkey has a built-in workload generator ACE,45,,https://dl.acm.org/doi/abs/10.5555/3291168.3291172,1491,
anjiperera,https://doi.org/10.1145/3377811.3380350,tool,KProbes,58,,https://lwn.net/Articles/132196/,1491,
anjiperera,https://doi.org/10.1145/3377811.3380327,tool,app explorer,32,10.1145/3180155.3180240,,324,40
anjiperera,https://doi.org/10.1145/3377811.3380327,statistical ,Spearman rank-order correlation test,67,10.1093/ije/dyq191,,325,
anjiperera,https://doi.org/10.1145/3377811.3380327,method,Transformer model,68,,https://dl.acm.org/doi/10.5555/3295222.3295349,325,
anjiperera,https://doi.org/10.1145/3377811.3380327,method,"CNN, ResNet-101 architecture",46,10.1109/CVPR.2016.90,,325,
anjiperera,https://doi.org/10.1145/3377811.3380327,dataset,MS COCO dataset (used to pretrain CNN),57,10.1007/978-3-319-10602-1_48,https://cocodataset.org/,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,tool,Adam Optimiser,51,,arxiv:1412.6980,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,metric,BLEU,62,10.3115/1073083.1073135,,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,metric,METEOR,26,,https://dl.acm.org/doi/10.5555/1626355.1626389,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,metric,ROGUE,56,10.3115/1073445.1073465,,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,metric,CIDEr,69,10.1109/CVPR.2015.7299087,,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,tool,coco-caption code,39,,arxiv:1504.00325,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,stepping stones,CNN + LSTM,70,10.1109/CVPR.2015.7298935,,328,
anjiperera,https://doi.org/10.1145/3377811.3380327,stepping stones,CNN + CNN,22,10.1109/CVPR.2018.00583,,329,
anjiperera,https://doi.org/10.1145/3377811.3380327,metric,accessibility score,45,,https://www.semanticscholar.org/paper/Overview-of-the-Patent-Machine-Translation-Task-at-Goto-Chow/7c27562748cb9e7b970f516c0eb89e11986dcc4b,330,
anjiperera,https://doi.org/10.1145/3377811.3380417,method,WORD2VEC,57,,arxiv:1301.3781,1313,25
anjiperera,https://doi.org/10.1145/3377811.3380417,tool,SUPOR,52,,https://dl.acm.org/doi/10.5555/2831143.2831205,1313,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,AndroBugs,2,,https://github.com/AndroBugs/,1315,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,QARK,16,,https://github.com/linkedin/qark,1315,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,MOBSF,13,,https://github.com/MobSF/Mobile-Security-Framework-MobSF,1315,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,"Qihoo360, industry tool",17,,http://appscan.360.cn/,1315,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,FlowDroid,29,10.1145/2666356.2594299,,1315,
anjiperera,https://doi.org/10.1145/3377811.3380417,stepping stones,ICCTA,54,10.1109/ICSE.2015.48,,1315,
anjiperera,https://doi.org/10.1145/3377811.3380389,dataset,PROMISE,,,http://openscience.us/repo/defect/,579,40
anjiperera,https://doi.org/10.1145/3377811.3380389,method,AlexNet,19,10.1145/3065386,,579,
anjiperera,https://doi.org/10.1145/3377811.3380389,method,deep transfer learning,20,,https://dl.acm.org/doi/10.5555/3045118.3045130,579,
anjiperera,https://doi.org/10.1145/3377811.3380389,method,self attention mechanism,21,,arxiv:1805.08318,579,
anjiperera,https://doi.org/10.1145/3377811.3380389,metric,MK-MMD,69,,https://dl.acm.org/doi/10.5555/2999134.2999269,"580,583",
anjiperera,https://doi.org/10.1145/3377811.3380389,method,"DANs, multi-kernal MMD strategy",68,10.1109/TPAMI.2018.2868685,,582,
anjiperera,https://doi.org/10.1145/3377811.3380389,sanity check,why padding is used,74,,https://www.semanticscholar.org/paper/An-Overview-of-Convolutional-Neural-Network-for-Murphy/64db333bb1b830f937b47d786921af4a6c2b3233,582,
anjiperera,https://doi.org/10.1145/3377811.3380389,stepping stones,"Semantic, PROMISE-DP, DBN-CP",16,10.1145/2884781.2884804,,584,
anjiperera,https://doi.org/10.1145/3377811.3380389,stepping stones,"Semantic, DBN-CP",75,10.1109/TSE.2018.2877612,,584,
anjiperera,https://doi.org/10.1145/3377811.3380389,stepping stones,DP-LSTM,18,,arxiv:1802.00921,584,
anjiperera,https://doi.org/10.1145/3377811.3380389,stepping stones,DP-CNN,17,10.1109/QRS.2017.42,,584,
anjiperera,https://doi.org/10.1145/3377811.3380389,stepping stones,TCA+,45,10.1109/ICSE.2013.6606584,,584,
anjiperera,https://doi.org/10.1145/3377811.3380389,method,processes to obtain the training and testing data,16,10.1145/2884781.2884804,,584,
anjiperera,https://doi.org/10.1145/3377811.3380436,method ,MMR,30,10.1145/290941.291025,,113,30
anjiperera,https://doi.org/10.1145/3377811.3380436,tool,ASM bytecode analysis framework,6,,https://asm.ow2.io/,113,
anjiperera,https://doi.org/10.1145/3377811.3380436,tool,Indri IR framework,8,,http://www.lemurproject.org/indri.php,113,
anjiperera,https://doi.org/10.1145/3377811.3380436,method,Gibbs sampling generative model,61,10.1145/1401890.1401960,,115,
anjiperera,https://doi.org/10.1145/3377811.3380436,method,BM25,82,,https://dl.acm.org/doi/book/10.5555/1121636,115,
anjiperera,https://doi.org/10.1145/3377811.3380436,method,STARTS,50,10.1145/2950290.2950361,,116,
anjiperera,https://doi.org/10.1145/3377811.3380408,dataset,GHTorrent,20,10.1109/MSR.2013.6624034,,398,15
