gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num
asslisa,https://doi.org/10.1145/3377811.3380437,Tool,HW17,[23],10.1109/ESEM.2017.23,,14
asslisa,https://doi.org/10.1145/3377811.3380437,Dataset,TravisTorrent,[3],10.1109/MSR.2017.62,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Metric,Filtering Criteria for toy projects,[27],10.1109/MSR.2017.30 ,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Metric,Filtering Criteria for toy projects,[43],10.1109/MSR.2017.26,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Statistical,LOD,[60],10.4103/2229-5186.79345,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Metric,Correlated Features with all build failures,[27],10.1109/MSR.2017.30 ,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Metric,Correlated Features with all build failures,[47],10.1109/MSR.2017.54,,16
asslisa,https://doi.org/10.1145/3377811.3380437,Method�,cold-start problem,[71],,https://en.wikipedia.org/w/index.php?title=Cold_start_(computing)&oldid=883021431,17
asslisa,https://doi.org/10.1145/3377811.3380437,Metric,Correlated features with all failures ,[23],10.1109/ESEM.2017.23,,18
asslisa,https://doi.org/10.1145/3377811.3380437,Method,Build-prediction techniques,[23] ,10.1109/ESEM.2017.23,,18
asslisa,https://doi.org/10.1145/3377811.3380437,Method,Build-prediction techniques,[43],10.1109/MSR.2017.26,,18
asslisa,https://doi.org/10.1145/3377811.3380437,Method,Build-prediction techniques,[73],10.1109/MSR.2017.26,,18
asslisa,https://doi.org/10.1145/3377811.3380377,Tool,EvoSuite,[26],10.1109/TSE.2012.14,,91
asslisa,https://doi.org/10.1145/3377811.3380377,Tool,PEACH ,,,https://github.com/MozillaSecurity/peach,91
asslisa,https://doi.org/10.1145/3377811.3380377,Tool,FUZZER,,,https://github.com/mapbox/fuzzer ,91
asslisa,https://doi.org/10.1145/3377811.3380377,Tool,InTrace,[36],,https://mchr3k.github.io/org.intrace/,92
asslisa,https://doi.org/10.1145/3377811.3380377,Dataset,Defects4J benchmark,[45],10.1145/2610384.2628055,,94
asslisa,https://doi.org/10.1145/3377811.3380342,Dataset,The Java Corpus,[6],10.1109/MSR.2013.6624029 ,,1083
asslisa,https://doi.org/10.1145/3377811.3380342,Dataset,The Java Corpus,[41],10.1145/3106237.3106290,https://doi.org/10.7488/ds/1690,1083
asslisa,https://doi.org/10.1145/3377811.3380342,Dataset,The C Corpus,[29],,https://doi.org/10.5281/zenodo.3628775,1083
asslisa,https://doi.org/10.1145/3377811.3380342,Dataset,The Python Corpus,[31],,https://doi.org/10.5281/zenodo.3628784,1083
asslisa,https://doi.org/10.1145/3377811.3380342,Replication,Similar Experiment,[75],10.1145/2884781.2884848,,1074
asslisa,https://doi.org/10.1145/3377811.3380342,Tool,Java Lexer,[41],10.1145/3106237.3106290,https://github.com/SLP-team/SLP-Core,1076
asslisa,https://doi.org/10.1145/3377811.3380342,Tool,Pygments Library ,,,http://pygments.org/docs/lexers/,1076
asslisa,https://doi.org/10.1145/3377811.3380342,Method�,Word Splitting,[3],10.1145/2786805.2786849,,1077
asslisa,https://doi.org/10.1145/3377811.3380342,Tool,Byte Pair Encoding (BPE) Algorithm,[34],,https://dl.acm.org/doi/10.5555/177910.177914,1077
asslisa,https://doi.org/10.1145/3377811.3380342,Replication,GRU,[56],10.18653/v1/P18-1027,,1078
asslisa,https://doi.org/10.1145/3377811.3380342,Tool,BPE Implementation,,,https://github.com/rsennrich/subword-nmt,1078
asslisa,https://doi.org/10.1145/3377811.3380342,Method�,Code Completion Scenarios ,[41],10.1145/3106237.3106290,,1080
asslisa,https://doi.org/10.1145/3377811.3380342,Tool,n-gram Implementation,[41],10.1145/3106237.3106290,https://github.com/SLP-team/SLP-Core,1080
asslisa,https://doi.org/10.1145/3377811.3380342,Dataset,Defects4j dataset,[53],10.1145/2610384.2628055,,1082
asslisa,https://doi.org/10.1145/3377811.3380341,Method ,Typestate Analysis ,[61],10.1109/TSE.1986.6312929,,1448
asslisa,https://doi.org/10.1145/3377811.3380341,Tool,Checker Framework ,[50],10.1145/1390630.1390656,,1453
asslisa,https://doi.org/10.1145/3377811.3380341,Tool,Object Construction Checker ,,,https://github.com/kelloggm/object-construction-checker,1453
asslisa,https://doi.org/10.1145/3377811.3380324,Tool,OCL,[37],,http://www.eclipse.org/modeling/mdt/?project= ocl,1497
asslisa,https://doi.org/10.1145/3377811.3380324,Tool,Modisco,[36],,http://www.eclipse.org/modeling/mdt/?project=modisco,1497
asslisa,https://doi.org/10.1145/3377811.3380324,Tool,Papyrus,[38],,http://www.eclipse.org/modeling/mdt/?project=papyrus,1497
asslisa,https://doi.org/10.1145/3377811.3380324,Method,Impact Analysis,[22],10.5381/jot.2012.11.3.a3,,1500
asslisa,https://doi.org/10.1145/3377811.3380324,Tool,JDT API,,,https://www.eclipse.org/jdt/core/,1501
asslisa,https://doi.org/10.1145/3377811.3380355,Statistical ,ANOVA F-test,[30],10.1093/bioinformatics/btm344,,227
asslisa,https://doi.org/10.1145/3377811.3380355,Method ,Structural Similarity Index Method (SSIM),[41],10.1109/TIP.2003.819861,,228
asslisa,https://doi.org/10.1145/3377811.3380355,Tool,Tree Edit Distance ,[45],10.1137/0218082,,228
asslisa,https://doi.org/10.1145/3377811.3380355,Tool,V8 Engine ,[6],,https://v8.dev/,228
asslisa,https://doi.org/10.1145/3377811.3380329,Tool,Blender ,[17],,https://www.blender.org,76
asslisa,https://doi.org/10.1145/3377811.3380329,Tool,Assimp,[5],,http://www.assimp.org,76
asslisa,https://doi.org/10.1145/3377811.3380329,Tool,Appleseed,[43],,https://appleseedhq.net,76
