gh_id, paper_doi, reuse_type, comment, citation_number, reused_doi, alt_url, page_num
yrahul3910,https://doi.org/10.1145/3379597.3387481,tool,ActiveMQ,[12],,https://svn.apache.org/repos/infra/apachecon/archive.apachecon.com/na2011/presentations/10-Thursday/A-Enterprise_Java/A_1600_Snyder_ActiveMQ.pdf,2
yrahul3910,https://doi.org/10.1145/3379597.3387481,method,Effort estimation scenario,[7],https://doi.org/10.1145/1370750.1370781,,7
yrahul3910,https://doi.org/10.1145/3379597.3387481,method,Effort estimation scenario,[11],https://doi.org/10.1145/2597073.2597107,,7
yrahul3910,https://doi.org/10.1145/3379597.3387481,tool,PyDriller,[13],https://doi.org/10.1145/3236024.3264598,,8
yrahul3910,https://doi.org/10.1145/3379597.3387481,dataset,dataset,[14],https://doi.org/10.1145/2901739.2901753,,8
yrahul3910,https://doi.org/10.1145/3379597.3387458,method,SALSA,[34],https://doi.org/10.1111/j.1471-1842.2009.00848.x,,2
yrahul3910,https://doi.org/10.1145/3379597.3387458,method,Literature review,[69],https://doi.org/10.1016/bs.adcom.2018.10.001,,2
yrahul3910,https://doi.org/10.1145/3379597.3387458,method,Thematic analysis,[8],https://dx.doi.org/10.1191/1478088706QP063OA,,3
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,ftrace,[6],,https://elinux.org/Ftrace,4
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,dtrace,[4],,http://dtrace.org,4
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,PIN,[16],,https://software.intel.com/en-us/articles/pin-a-dynamic-binary-instrumentation-tool.,4
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,cscope,[21],,http://cscope.sourceforge.net/,5
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,Kernel glossary,[13],,https://kernelnewbies.org/KernelGlossary,5
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,spaCy,[22],,https://spacy.io/,6
yrahul3910,https://doi.org/10.1145/3379597.3387444,method,Hungarian algorithm,[63],https://doi.org/10.1002/nav.3800020109,,6
yrahul3910,https://doi.org/10.1145/3379597.3387444,tool,graphviz,[46],10.1002/1097-024X(200009)30:11<1203::AID-SPE338>3.0.CO;2-N,,6
yrahul3910,https://doi.org/10.1145/3379597.3387465,method,Lehman's laws,[19],https://doi.org/10.1007/BFb0017737,,1
yrahul3910,https://doi.org/10.1145/3379597.3387465,metric,McCabe,[23],https://doi.org/10.1109/TSE.1976.233837,,2
yrahul3910,https://doi.org/10.1145/3379597.3387465,metric,Halstead,[12],,https://dl.acm.org/doi/book/10.5555/540137,2
yrahul3910,https://doi.org/10.1145/3379597.3387465,metric,Midha et al.,[26],,https://www.tandfonline.com/doi/abs/10.1080/08874417.2010.11645410,2
yrahul3910,https://doi.org/10.1145/3379597.3387465,metric,Gill & Kemerer,[8],https://doi.org/10.1109/32.106988,,2
yrahul3910,https://doi.org/10.1145/3379597.3387465,tool,cqmetrics,[41],https://doi.org/10.1145/2884781.2884799,,2
yrahul3910,https://doi.org/10.1145/3379597.3387465,dataset,OpenSSL vulnerabilities list,,,https://www.openssl.org/news/vulnerabilities.html,4
yrahul3910,https://doi.org/10.1145/3379597.3387465,tool,PyDriller,[39],https://doi.org/10.1145/3236024.3264598,,4
yrahul3910,https://doi.org/10.1145/3379597.3387479,tool,pysmell,[27],,https://github.com/chenzhifei731/Pysmell,2
yrahul3910,https://doi.org/10.1145/3379597.3387479,method,Code smell list,[6],https://doi.org/10.1016/j.infsof.2017.09.011,,2
yrahul3910,https://doi.org/10.1145/3379597.3387479,method,Code smells,[10],,https://books.google.com/books?hl=en&lr=&id=2H1_DwAAQBAJ&oi=fnd&pg=PT14&dq=Refactoring:+improving+the+design+of+existing+code&ots=Ngyvvbr1PW&sig=GCwCe0_8UN9b781c5r52AYmUzTs,3
yrahul3910,https://doi.org/10.1145/3379597.3387479,tool,GitHub API Search,[9],,https://developer.github.com/v3/search/#search-topics,3
