gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,sect_num
XiaoLing941212,https://doi.org/10.1145/3368089.3409722,metric,cibtruvytuib acceotace,[38],10.1145/2468356.2468382,,1068,3.1.3
XiaoLing941212,https://doi.org/10.1145/3368089.3409722,metric,introduced by Gousios et al.,[25],10.1145/2597073.2597122,,1069,3.1.4
XiaoLing941212,https://doi.org/10.1145/3368089.3409726,tool,Haven,[5],10.1145/2799647,,1078,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409726,tool,Graphene-SGX,[31],,https://www.usenix.org/system/files/conference/atc17/atc17-tsai.pdf,1078,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409726,tool,SGX-LKL,[21],,https://arxiv.org/abs/1908.11143,1078,1
XiaoLing941212,https://doi.org/10.1145/3368089.3409739,dataset ,Lending Club Load Data,,,https://www.kaggle.com/wendykan/lending-club-loan-data,1092,4.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409739,method,Papernot attack,[21],,https://arxiv.org/abs/1605.07277,1093,5.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409739,method,PGD,[16],,https://arxiv.org/abs/1706.06083,1093,5.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409739,method,CW2,[7],10.1109/SP.2017.49,,1093,5.2
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,tool,fastText,[6],,https://transacl.org/ojs/index.php/tacl/article/view/999,1104,3.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,Spy idea,[33],10.1109/ICDM.2003.1250918,,1106,3.5
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,ranking mechanism,[31],10.1145/1095430.1081755,,1107,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409678,method,ranking mechanism,[55],,https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_yun.pdf,1107,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409752,tool,ICE learning framework,[15],10.1007/978-3-319-08867-9_5,117,,5
XiaoLing941212,https://doi.org/10.1145/3368089.3409752,method,ICE-DT baseline,[16],10.1145/2837614.2837664,,118,5.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,WAPS,[20],,WAPS: Weighted and Projected Sampling,1120,4
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,ecos-icse11,[51],10.1109/ICST.2019.00032,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,embtoolkit,[29],10.1145/3106237.3106252,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409744,method,FinancialServices01,[50],10.1145/3336294.3336322,,1120,4.1
XiaoLing941212,https://doi.org/10.1145/3368089.3409742,method,reproduce of SM work,[63],10.1145/227607.227610,,1128,1
