gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num
kpeng2019,https://doi.org/10.1145/3368089.3409676,method,replication of prior work,57,10.1109/cvpr.2019.00491,,841
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,2,,https://arxiv.org/abs/1804.07729,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,8,,https://arxiv.org/abs/1712.04248,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,11,10.1109/sp.2017.49,,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,21,,https://arxiv.org/abs/1712.02779,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,27,,https://arxiv.org/abs/1412.6572,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,49,,https://arxiv.org/abs/1706.06083,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,50,10.1109/cvpr.2016.282,,845
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,52,10.1109/cvprw.2017.172,,945
kpeng2019,https://doi.org/10.1145/3368089.3409676,dataset,dataset used in experiment,55,10.1109/eurosp.2016.36,,845
kpeng2019,https://doi.org/10.1145/3368089.3409674,"metric, method","metric to criticize, and replication of method",47,10.1145/3132747.3132785,,973
kpeng2019,https://doi.org/10.1145/3368089.3409754,metric,eval metric,51,,https://arxiv.org/abs/1606.03498,973
kpeng2019,https://doi.org/10.1145/3368089.3409754        ,metric,eval metric,17,,https://dl.acm.org/doi/10.5555/3295222.3295408,965
kpeng2019,"https://doi.org/10.1145/3368089.3409754	",method,replication of prior work,5,,https://arxiv.org/abs/1604.07316,965
kpeng2019,"https://doi.org/10.1145/3368089.3409754	",method,replication of prior work,16,10.1109/cvpr.2016.90,,965
kpeng2019,"https://doi.org/10.1145/3368089.3409754	",method,replication of prior work,19,10.17504/protocols.io.8j6hure,,965
kpeng2019,"https://doi.org/10.1145/3368089.3409754	",method,prior work evaluated in discussion section,58,10.1145/3180155.3180220,,973
kpeng2019,https://doi.org/10.1145/3368089.3409756,dataset,dataset used in experiment,30,10.1145/3377811.3380339,,864
kpeng2019,https://doi.org/10.1145/3368089.3409756,method,replication of prior work,30,10.1145/3377811.3380339,,864
kpeng2019,https://doi.org/10.1145/3368089.3409756,method,replication of prior work,69,10.1145/3377811.3380420,,868
kpeng2019,https://doi.org/10.1145/3368089.3409756,theory,theory reuse,20,10.18653/v1/N19-1423,,864
kpeng2019,https://doi.org/10.1145/3368089.3409756,algorithm,core component,51,,https://arxiv.org/abs/1301.3781,865
kpeng2019,https://doi.org/10.1145/3368089.3409732,dataset,benchmark problems,2,10.1109/FMCAD.2013.6679385,,93
kpeng2019,https://doi.org/10.1145/3368089.3409732,method,replication of prior work,20,10.1145/3133886,,95
kpeng2019,https://doi.org/10.1145/3368089.3409732,Benchmark suite,repo of benchmark suite,1,,https://github.com/SyGuS-Org/benchmarks/tree/master/comp/2019/PBE_SLIA_Track/from_2018,88
kpeng2019,https://doi.org/10.1145/3368089.3409730,dataset,dataset used in experiment,28,10.1109/5.726791,,878
kpeng2019,https://doi.org/10.1145/3368089.3409730,tool,tool to transform data format,45,,http://potrace.sourceforge.net/potrace.pdf,878
kpeng2019,https://doi.org/10.1145/3368089.3409730,core component,based on previous work,12,10.1109/4235.996017,,879
kpeng2019,https://doi.org/10.1145/3368089.3409730,core component,based on previous work,36,10.1007/978-3-642-18272-3_10,,879
kpeng2019,https://doi.org/10.1145/3368089.3409730,dataset,dataset used in experiment,5,,https://www.beamng.gmbh/research,878
kpeng2019,https://doi.org/10.1145/3368089.3409730,method,benchmark method,18,10.1145/3236024.3264835,,877
kpeng2019,https://doi.org/10.1145/3368089.3409668,theory,theory as a core component,23,10.1145/302405.302457,,891
kpeng2019,https://doi.org/10.1145/3368089.3409668,dataset,dataset used in experiment,2,,arxiv:1812.01718,895
kpeng2019,https://doi.org/10.1145/3368089.3409668,dataset,dataset used in experiment,3,10.1109/ijcnn.2017.7966217,,894
kpeng2019,https://doi.org/10.1145/3368089.3409668,dataset,dataset used in experiment,8,10.1109/9780470544976.ch9,,890
kpeng2019,https://doi.org/10.1145/3368089.3409668,dataset,dataset used in experiment,26,,https://arxiv.org/abs/1708.07747,895
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,24,10.1109/5.726791,,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,39,10.3115/1118693.1118704,,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,21,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.222.9220,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,7,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.222.2063,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,30,10.1007/978-3-642-15181-1,,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,dataset,dataset used in experiment,9,10.1109/CVPR.2009.5206848,,907
kpeng2019,https://doi.org/10.1145/3368089.3409696,method,benchmark method,16,,https://arxiv.org/abs/1503.02531,908
kpeng2019,https://doi.org/10.1145/3368089.3409696,method,benchmark method,45,,http://citeseer.ist.psu.edu/viewdoc/summary?doi=10.1.1.41.1639,908
kpeng2019,https://doi.org/10.1145/3368089.3409696,method,benchmark method,65,10.1145/775047.775151,,904
kpeng2019,https://doi.org/10.1145/3368089.3409702,method,method reuse,14,10.1145/24039.24041,,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of EdgeMiner,8,10.14722/ndss.2015.23140,,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of TIRO,42,,https://dl.acm.org/doi/10.5555/3277203.3277297,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of PackerGrind,44,10.1109/TSE.2020.2996433,,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of FlowDroid,3,10.1145/2666356.2594299,,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of IC3,34,10.1109/ICSE.2015.30,,920
kpeng2019,https://doi.org/10.1145/3368089.3409702,tool,reuse of OpenWPM to extract domain,13,10.1145/2976749.2978313,,921
kpeng2019,https://doi.org/10.1145/3368089.3409677,method,reuse of LSTM,26,10.1162/neco.1997.9.8.1735,,931
kpeng2019,https://doi.org/10.1145/3368089.3409677,tool,reuse of uDroid,29,10.1145/3106237.3106244,,931
kpeng2019,https://doi.org/10.1145/3368089.3409677,method,reuse of attention mechanism,8,10.1109/TSE.2017.2689012,,931
kpeng2019,https://doi.org/10.1145/3368089.3409745,tool,FlowDroid to extract cal graph,28,10.1145/2666356.2594299,,943
