AUTHORS,TITLE,DOI,Venue
"Alessio Ferrari 0001, Franco Mazzanti, Davide Basile, Maurice H. ter Beek, Alessandro Fantechi",Comparing formal tools for system design - a judgment study.,https://doi.org/10.1145/3377811.3380373,ICSE2020
"Yan Cai 0001, Ruijie Meng, Jens Palsberg",Low-overhead deadlock prediction.,https://doi.org/10.1145/3377811.3380367,ICSE2020
"Andrea Stocco 0001, Michael Weiss, Marco Calzana, Paolo Tonella",Misbehaviour prediction for autonomous driving systems.,https://doi.org/10.1145/3377811.3380353,ICSE2020
"Kui Liu 0001, Shangwen Wang, Anil Koyuncu, Kisub Kim, Tegawendé F. Bissyandé, Dongsun Kim 0001, Peng Wu, Jacques Klein, Xiaoguang Mao, Yves Le Traon",On the efficiency of test suite based program repair - A Systematic Assessment of 16 Automated Repair Systems for Java Programs.,https://doi.org/10.1145/3377811.3380338,ICSE2020
"He Zhang 0001, Xin Zhou, Xin Huang, Huang Huang, Muhammad Ali Babar",An evidence-based inquiry into the use of grey literature in software engineering.,https://doi.org/10.1145/3377811.3380336,ICSE2020
"Hui Guo 0002, Munindar P. Singh",Caspar - extracting and synthesizing user stories of problems from app reviews.,https://doi.org/10.1145/3377811.3380924,ICSE2020
"Hui Guo 0007, Cindy Rubio-González",Efficient generation of error-inducing floating-point inputs via symbolic execution.,https://doi.org/10.1145/3377811.3380359,ICSE2020
"Emad Aghajani, Csaba Nagy 0001, Mario Linares-Vásquez, Laura Moreno, Gabriele Bavota, Michele Lanza, David C. Shepherd",Software documentation - the practitioners&apos; perspective.,https://doi.org/10.1145/3377811.3380405,ICSE2020
"Mounifah Alenazi, Nan Niu, Juha Savolainen",A novel approach to tracing safety requirements and state-based design models.,https://doi.org/10.1145/3377811.3380332,ICSE2020
"Dalal Alrajeh, Antoine Cailliau, Axel van Lamsweerde",Adapting requirements models to varying environments.,https://doi.org/10.1145/3377811.3380927,ICSE2020
"Abdulaziz Alshayban, Iftekhar Ahmed 0001, Sam Malek","Accessibility issues in Android apps - state of affairs, sentiments, and ways forward.",https://doi.org/10.1145/3377811.3380392,ICSE2020
"Yude Bai, Zhenchang Xing, Xiaohong Li 0001, Zhiyong Feng 0002, Duoyuan Ma",Unsuccessful story about few shot malware family classification and siamese network to the rescue.,https://doi.org/10.1145/3377811.3380354,ICSE2020
"Manuel Benz, Erik Krogh Kristensen, Linghui Luo, Nataniel P. Borges, Eric Bodden, Andreas Zeller",Heaps&apos;n leaks - how heap snapshots improve Android taint analysis.,https://doi.org/10.1145/3377811.3380438,ICSE2020
"Carlos Bernal-Cárdenas, Nathan Cooper, Kevin Moran, Oscar Chaparro, Andrian Marcus, Denys Poshyvanyk",Translating video recordings of mobile app usages into replayable scenarios.,https://doi.org/10.1145/3377811.3380328,ICSE2020
"Antonia Bertolino, Antonio Guerriero, Breno Miranda, Roberto Pietrantuono, Stefano Russo",Learning-to-rank vs ranking-to-learn - strategies for regression testing in continuous integration.,https://doi.org/10.1145/3377811.3380369,ICSE2020
"Tegan Brennan, Seemanta Saha, Tevfik Bultan",JVM fuzzing for JIT-induced side-channel detection.,https://doi.org/10.1145/3377811.3380432,ICSE2020
"Caius Brindescu, Iftekhar Ahmed 0001, Rafael Leano, Anita Sarma",Planning for untangling - predicting the difficulty of merge conflicts.,https://doi.org/10.1145/3377811.3380344,ICSE2020
"Alexandra Bugariu, Peter Müller 0001",Automatically testing string solvers.,https://doi.org/10.1145/3377811.3380398,ICSE2020
"Souti Chattopadhyay, Nicholas Nelson 0002, Audrey Au, Natalia Morales, Christopher Sanchez, Rahul Pandita, Anita Sarma",A tale from the trenches - cognitive biases and software development.,https://doi.org/10.1145/3377811.3380330,ICSE2020
"Dongjie Chen, Yanyan Jiang 0001, Chang Xu 0001, Xiaoxing Ma, Jian Lu 0001",Testing file system implementations on layered models.,https://doi.org/10.1145/3377811.3380350,ICSE2020
"Jieshan Chen, Chunyang Chen, Zhenchang Xing, Xiwei Xu, Liming Zhu, Guoqiang Li 0001, Jinshui Wang",Unblind your apps - predicting natural-language labels for mobile GUI components by deep learning.,https://doi.org/10.1145/3377811.3380327,ICSE2020
"Sen Chen, Lingling Fan, Guozhu Meng, Ting Su, Minhui Xue, Yinxing Xue, Yang Liu 0003, Lihua Xu",An empirical assessment of security risks of global Android banking apps.,https://doi.org/10.1145/3377811.3380417,ICSE2020
"Jinyin Chen, Keke Hu, Yue Yu 0001, Zhuangzhi Chen, Qi Xuan, Yi Liu 0024, Vladimir Filkov",Software visualization and deep transfer learning for effective software defect prediction.,https://doi.org/10.1145/3377811.3380389,ICSE2020
"Lingchao Chen, Foyzul Hassan, Xiaoyin Wang, Lingming Zhang",Taming behavioral backward incompatibilities via cross-project testing and analysis.,https://doi.org/10.1145/3377811.3380436,ICSE2020
