AUTHORS,TITLE,DOI,Venue
"Dalal Alrajeh, Antoine Cailliau, Axel van Lamsweerde",Adapting requirements models to varying environments.,https://doi.org/10.1145/3377811.3380927,ICSE2020
"Abdulaziz Alshayban, Iftekhar Ahmed 0001, Sam Malek","Accessibility issues in Android apps - state of affairs, sentiments, and ways forward.",https://doi.org/10.1145/3377811.3380392,ICSE2020
"Yude Bai, Zhenchang Xing, Xiaohong Li 0001, Zhiyong Feng 0002, Duoyuan Ma",Unsuccessful story about few shot malware family classification and siamese network to the rescue.,https://doi.org/10.1145/3377811.3380354,ICSE2020
"Manuel Benz, Erik Krogh Kristensen, Linghui Luo, Nataniel P. Borges, Eric Bodden, Andreas Zeller",Heaps&apos;n leaks - how heap snapshots improve Android taint analysis.,https://doi.org/10.1145/3377811.3380438,ICSE2020
"Carlos Bernal-Cárdenas, Nathan Cooper, Kevin Moran, Oscar Chaparro, Andrian Marcus, Denys Poshyvanyk",Translating video recordings of mobile app usages into replayable scenarios.,https://doi.org/10.1145/3377811.3380328,ICSE2020
"Antonia Bertolino, Antonio Guerriero, Breno Miranda, Roberto Pietrantuono, Stefano Russo",Learning-to-rank vs ranking-to-learn - strategies for regression testing in continuous integration.,https://doi.org/10.1145/3377811.3380369,ICSE2020
"Tegan Brennan, Seemanta Saha, Tevfik Bultan",JVM fuzzing for JIT-induced side-channel detection.,https://doi.org/10.1145/3377811.3380432,ICSE2020
"Caius Brindescu, Iftekhar Ahmed 0001, Rafael Leano, Anita Sarma",Planning for untangling - predicting the difficulty of merge conflicts.,https://doi.org/10.1145/3377811.3380344,ICSE2020
"Alexandra Bugariu, Peter Müller 0001",Automatically testing string solvers.,https://doi.org/10.1145/3377811.3380398,ICSE2020
"Souti Chattopadhyay, Nicholas Nelson 0002, Audrey Au, Natalia Morales, Christopher Sanchez, Rahul Pandita, Anita Sarma",A tale from the trenches - cognitive biases and software development.,https://doi.org/10.1145/3377811.3380330,ICSE2020
