AUTHORS,TITLE,DOI,Venue
"Dongjie Chen, Yanyan Jiang 0001, Chang Xu 0001, Xiaoxing Ma, Jian Lu 0001",Testing file system implementations on layered models.,https://doi.org/10.1145/3377811.3380350,ICSE2020
"Jieshan Chen, Chunyang Chen, Zhenchang Xing, Xiwei Xu, Liming Zhu, Guoqiang Li 0001, Jinshui Wang",Unblind your apps - predicting natural-language labels for mobile GUI components by deep learning.,https://doi.org/10.1145/3377811.3380327,ICSE2020
"Sen Chen, Lingling Fan, Guozhu Meng, Ting Su, Minhui Xue, Yinxing Xue, Yang Liu 0003, Lihua Xu",An empirical assessment of security risks of global Android banking apps.,https://doi.org/10.1145/3377811.3380417,ICSE2020
"Jinyin Chen, Keke Hu, Yue Yu 0001, Zhuangzhi Chen, Qi Xuan, Yi Liu 0024, Vladimir Filkov",Software visualization and deep transfer learning for effective software defect prediction.,https://doi.org/10.1145/3377811.3380389,ICSE2020
"Lingchao Chen, Foyzul Hassan, Xiaoyin Wang, Lingming Zhang",Taming behavioral backward incompatibilities via cross-project testing and analysis.,https://doi.org/10.1145/3377811.3380436,ICSE2020
"Boyuan Chen, Zhen Ming (Jack) Jiang",Studying the use of Java logging utilities in the wild.,https://doi.org/10.1145/3377811.3380408,ICSE2020
"Shafiul Azam Chowdhury, Sohil Lal Shrestha, Taylor T. Johnson, Christoph Csallner",SLEMI - equivalence modulo input (EMI) based mutation of CPS models for finding compiler bugs in Simulink.,https://doi.org/10.1145/3377811.3380381,ICSE2020
"Alex Cummaudo, Rajesh Vasa, Scott Barnett, John C. Grundy, Mohamed Abdelrazek 0001",Interpreting cloud computer vision pain-points - a mining study of stack overflow.,https://doi.org/10.1145/3377811.3380404,ICSE2020
"Anastasia Danilova, Alena Naiakshina, Matthew Smith 0001",One size does not fit all - a grounded theory and online survey study of developer preferences for security warning types.,https://doi.org/10.1145/3377811.3380387,ICSE2020
"Zishuo Ding, Jinfu Chen, Weiyi Shang",Towards the use of the readily available tests from the release pipeline as performance tests - are we there yet?,https://doi.org/10.1145/3377811.3380351,ICSE2020
