AUTHORS,TITLE,DOI,Venue
"Jordan Henkel, Christian Bird, Shuvendu K. Lahiri, Thomas W. Reps","Learning from, understanding, and supporting DevOps artifacts for docker.",https://doi.org/10.1145/3377811.3380406,ICSE2020
"Claudia Hilderbrand, Christopher Perdriau, Lara Letaw, Jillian Emard, Zoe Steine-Hanson, Margaret Burnett, Anita Sarma",Engineering gender-inclusivity into software - ten teams&apos; tales from the trenches.,https://doi.org/10.1145/3377811.3380371,ICSE2020
"Thong Hoang, Hong Jin Kang, David Lo 0001, Julia Lawall",CC2Vec - distributed representations of code changes.,https://doi.org/10.1145/3377811.3380361,ICSE2020
"Seongjoon Hong, Junhee Lee, Jeongsoo Lee, Hakjoo Oh","SAVER - scalable, precise, and safe memory-error repair.",https://doi.org/10.1145/3377811.3380323,ICSE2020
"Katherine Hough, Gebrehiwet B. Welearegai, Christian Hammer 0001, Jonathan Bell 0001",Revealing injection vulnerabilities by leveraging existing tests.,https://doi.org/10.1145/3377811.3380326,ICSE2020
"Jingmei Hu, Jiwon Joung, Maia Jacobs, Krzysztof Z. Gajos, Margo I. Seltzer",Improving data scientist efficiency with provenance.,https://doi.org/10.1145/3377811.3380366,ICSE2020
"Nargiz Humbatova, Gunel Jahangirova, Gabriele Bavota, Vincenzo Riccio, Andrea Stocco 0001, Paolo Tonella",Taxonomy of real faults in deep learning systems.,https://doi.org/10.1145/3377811.3380395,ICSE2020
"Sungjae Hwang, Sukyoung Ryu",Gap between theory and practice - an empirical study of security patches in solidity.,https://doi.org/10.1145/3377811.3380424,ICSE2020
"Claire Ingram, Anders Drachen",How software practitioners use informal local meetups to share software engineering knowledge.,https://doi.org/10.1145/3377811.3380333,ICSE2020
"Md Johirul Islam, Rangeet Pan, Giang Nguyen, Hridesh Rajan",Repairing deep neural networks - fix patterns and challenges.,https://doi.org/10.1145/3377811.3380378,ICSE2020
