AUTHORS,TITLE,DOI,Venue
"Claudio Menghi, Shiva Nejati, Lionel C. Briand, Yago Isasi Parache",Approximation-refinement testing of compute-intensive cyber-physical models - an approach based on system identification.,https://doi.org/10.1145/3377811.3380370,ICSE2020
"Ehsan Mirsaeedi, Peter C. Rigby","Mitigating turnover with code review recommendation - balancing expertise, workload, and knowledge distribution.",https://doi.org/10.1145/3377811.3380335,ICSE2020
"Kevin Moran, David N. Palacio, Carlos Bernal-Cárdenas, Daniel McCrystal, Denys Poshyvanyk, Chris Shenefiel, Jeff Johnson",Improving the effectiveness of traceability link recovery using hierarchical bayesian networks.,https://doi.org/10.1145/3377811.3380418,ICSE2020
"Tai D. Nguyen, Long H. Pham, Jun Sun 0001, Yun Lin 0001, Quang Tran Minh 0001",sFuzz - an efficient adaptive fuzzer for solidity smart contracts.,https://doi.org/10.1145/3377811.3380334,ICSE2020
"Son Nguyen, Hung Phan, Trinh Le, Tien N. Nguyen",Suggesting natural method names to check name consistencies.,https://doi.org/10.1145/3377811.3380926,ICSE2020
"Yannic Noller, Corina S. Pasareanu, Marcel Böhme, Youcheng Sun, Hoang Lam Nguyen, Lars Grunske",HyDiff - hybrid differential software analysis.,https://doi.org/10.1145/3377811.3380363,ICSE2020
"Cassandra Overney, Jens Meinicke, Christian Kästner, Bogdan Vasilescu",How to not get rich - an empirical study of donations in open source.,https://doi.org/10.1145/3377811.3380410,ICSE2020
"Profir-Petru Pârtachi, Santanu Kumar Dash, Christoph Treude, Earl T. Barr",POSIT - simultaneously tagging natural and programming languages.,https://doi.org/10.1145/3377811.3380440,ICSE2020
"Brandon Paulsen, Jingbo Wang, Chao Wang 0001",ReluDiff - differential verification of deep neural networks.,https://doi.org/10.1145/3377811.3380337,ICSE2020
"Harsha Perera, Waqar Hussain, Jon Whittle, Arif Nurwidyantoro, Davoud Mougouei, Rifat Ara Shams, Gillian Oliver","A study on the prevalence of human values in software engineering publications, 2015 - 2018.",https://doi.org/10.1145/3377811.3380393,ICSE2020
