AUTHORS,TITLE,DOI,Venue
"Ju Qian, Zhengyu Shang, Shuoyan Yan, Yan Wang, Lin Chen",RoScript - a visual script driven truly non-intrusive robotic testing system for touch screen applications.,https://doi.org/10.1145/3377811.3380431,ICSE2020
"Akond Rahman, Effat Farhana, Chris Parnin, Laurie A. Williams",Gang of eight - a defect taxonomy for infrastructure as code scripts.,https://doi.org/10.1145/3377811.3380409,ICSE2020
"Ramanathan Ramu, Ganesha B. Upadhyaya, Hoan Anh Nguyen, Hridesh Rajan",BCFA - bespoke control flow analysis for CFA at scale.,https://doi.org/10.1145/3377811.3380435,ICSE2020
"Sameer Reddy, Caroline Lemieux, Rohan Padhye, Koushik Sen",Quickly generating diverse valid test inputs with reinforcement learning.,https://doi.org/10.1145/3377811.3380399,ICSE2020
"Xiaoxue Ren, Jiamou Sun, Zhenchang Xing, Xin Xia 0001, Jianling Sun","Demystify official API usage directives with crowdsourced API misuse scenarios, erroneous code examples and patches.",https://doi.org/10.1145/3377811.3380430,ICSE2020
"Qingkai Shi, Rongxin Wu, Gang Fan, Charles Zhang",Conquering the extensional scalability problem for value-flow analysis frameworks.,https://doi.org/10.1145/3377811.3380346,ICSE2020
"Lin Shi, Mingzhe Xing, Mingyang Li, Yawen Wang, Shoubin Li, Qing Wang 0001",Detection of hidden feature requests from massive chat messages via deep siamese network.,https://doi.org/10.1145/3377811.3380356,ICSE2020
"Qingkai Shi, Charles Zhang",Pipelining bottom-up data flow analysis.,https://doi.org/10.1145/3377811.3380425,ICSE2020
"Nischal Shrestha, Colton Botta, Titus Barik, Chris Parnin",Here we go again - why is it difficult for developers to learn another programming language?,https://doi.org/10.1145/3377811.3380352,ICSE2020
"Thodoris Sotiropoulos, Dimitris Mitropoulos, Diomidis Spinellis",Practical fault detection in puppet programs.,https://doi.org/10.1145/3377811.3380384,ICSE2020
