AUTHORS,TITLE,DOI,Venue
"Davide Spadini, Gül Çalikli, Alberto Bacchelli",Primers or reminders? - the effects of existing review comments on code review.,https://doi.org/10.1145/3377811.3380385,ICSE2020
"Cristian-Alexandru Staicu, Martin Toldam Torp, Max Schäfer, Anders Møller, Michael Pradel",Extracting taint specifications for JavaScript libraries.,https://doi.org/10.1145/3377811.3380390,ICSE2020
"Clay Stevens, Hamid Bagheri",Reducing run-time adaptation space via analysis of possible utility bounds.,https://doi.org/10.1145/3377811.3380365,ICSE2020
"Li Sui, Jens Dietrich 0001, Amjed Tahir, George Fourtounis",On the recall of static call graph construction in practice.,https://doi.org/10.1145/3377811.3380441,ICSE2020
"Zeyu Sun, Jie M. Zhang, Mark Harman, Mike Papadakis, Lu Zhang",Automatic testing and improvement of machine translation.,https://doi.org/10.1145/3377811.3380420,ICSE2020
"Sadia Tabassum, Leandro L. Minku, Danyi Feng, George G. Cabral, Liyan Song",An investigation of cross-project learning in online just-in-time software defect prediction.,https://doi.org/10.1145/3377811.3380403,ICSE2020
"Shin Hwei Tan, Ziqiang Li",Collaborative bug finding for Android apps.,https://doi.org/10.1145/3377811.3380349,ICSE2020
"Xin Tan, Minghui Zhou, Brian Fitzgerald 0001",Scaling open source communities - an empirical study of the Linux kernel.,https://doi.org/10.1145/3377811.3380920,ICSE2020
"Guanhong Tao, Shiqing Ma, Yingqi Liu, Qiuling Xu, Xiangyu Zhang 0001",TRADER - trace divergence analysis and embedding regulation for debugging recurrent neural networks.,https://doi.org/10.1145/3377811.3380423,ICSE2020
"Yuchi Tian, Ziyuan Zhong, Vicente Ordonez, Gail E. Kaiser, Baishakhi Ray",Testing DNN image classifiers for confusion &amp; bias errors.,https://doi.org/10.1145/3377811.3380400,ICSE2020
