AUTHORS,TITLE,DOI,Venue
"Valentin Wüstholz, Maria Christakis",Targeted greybox fuzzing with static lookahead analysis.,https://doi.org/10.1145/3377811.3380388,ICSE2020
"Hao Xia, Yuan Zhang 0009, Yingtian Zhou, Xiaoting Chen, Yang Wang, Xiangyu Zhang, Shuaishuai Cui, Geng Hong, Xiaohan Zhang 0001, Min Yang 0002, Zhemin Yang",How Android developers handle evolution-induced API compatibility issues - a large-scale study.,https://doi.org/10.1145/3377811.3380357,ICSE2020
"Jiwei Yan, Hao Liu, Linjie Pan 0001, Jun Yan 0009, Jian Zhang 0001, Bin Liang",Multiple-entry testing of Android applications by constructing activity launching contexts.,https://doi.org/10.1145/3377811.3380347,ICSE2020
"Rahulkrishna Yandrapally, Andrea Stocco 0001, Ali Mesbah 0001",Near-duplicate detection in web app model inference.,https://doi.org/10.1145/3377811.3380416,ICSE2020
"Junwen Yang, Utsav Sethi, Cong Yan, Alvin Cheung, Shan Lu 0001",Managing data constraints in database-backed web applications.,https://doi.org/10.1145/3377811.3380375,ICSE2020
"Hengbiao Yu, Zhenbang Chen, Xianjin Fu, Ji Wang 0001, Zhendong Su, Jun Sun 0001, Chun Huang, Wei Dong",Symbolic verification of message passing interface programs.,https://doi.org/10.1145/3377811.3380419,ICSE2020
"Juan Zhai, Xiangzhe Xu, Yu Shi, Guanhong Tao, Minxue Pan, Shiqing Ma, Lei Xu, Weifeng Zhang, Lin Tan 0001, Xiangyu Zhang 0001",CPC - automatically classifying and propagating natural language comments via program analysis.,https://doi.org/10.1145/3377811.3380427,ICSE2020
"Jian Zhang, Xu Wang, Hongyu Zhang 0002, Hailong Sun 0001, Xudong Liu 0001",Retrieval-based neural source code summarization.,https://doi.org/10.1145/3377811.3380383,ICSE2020
"Peixin Zhang, Jingyi Wang 0004, Jun Sun 0001, Guoliang Dong, Xinyu Wang 0001, Xingen Wang, Jin Song Dong, Ting Dai",White-box fairness testing through adversarial sampling.,https://doi.org/10.1145/3377811.3380331,ICSE2020
"Xueling Zhang, Xiaoyin Wang, Rocky Slavin, Travis D. Breaux, Jianwei Niu 0001",How does misconfiguration of analytic services compromise mobile privacy?,https://doi.org/10.1145/3377811.3380401,ICSE2020
