AUTHORS,TITLE,DOI,Venue
"Jian Zhang, Xu Wang, Hongyu Zhang 0002, Hailong Sun 0001, Yanjun Pu, Xudong Liu 0001",Learning to Handle Exceptions.,https://doi.org/10.1145/3324884.3416568,ASE2020
"Mohammad Jafar Mashhadi, Hadi Hemmati",Hybrid Deep Neural Networks to Infer State Models of Black-Box Systems.,https://doi.org/10.1145/3324884.3416559,ASE2020
"Jesse Bartels, Jon Stephens, Saumya Debray",Representing and Reasoning about Dynamic Code.,https://doi.org/10.1145/3324884.3416542,ASE2020
"Navid Salehnamadi, Abdulaziz Alshayban, Iftekhar Ahmed 0001, Sam Malek",ER Catcher - A Static Analysis Framework for Accurate and Scalable Event-Race Detection in Android.,https://doi.org/10.1145/3324884.3416639,ASE2020
"Mingyang Li, Lin Shi, Ye Yang, Qing Wang 0001",A Deep Multitask Learning Approach for Requirements Discovery and Annotation from Open Forum.,https://doi.org/10.1145/3324884.3416627,ASE2020
"Bolin Wei, Yongmin Li, Ge Li 0001, Xin Xia 0001, Zhi Jin",Retrieve and Refine - Exemplar-based Neural Comment Generation.,https://doi.org/10.1145/3324884.3416578,ASE2020
"Zhenhao Li, Tse-Hsun Chen, Weiyi Shang",Where Shall We Log? Studying and Suggesting Logging Locations in Code Blocks.,https://doi.org/10.1145/3324884.3416636,ASE2020
"Junjie Chen 0003, Shu Zhang, Xiaoting He, Qingwei Lin, Hongyu Zhang 0002, Dan Hao, Yu Kang, Feng Gao, Zhangwei Xu, Yingnong Dang, Dongmei Zhang",How Incidental are the Incidents? Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems.,https://doi.org/10.1145/3324884.3416624,ASE2020
"Songqiang Chen, Xiaoyuan Xie, Bangguo Yin, Yuanxiang Ji, Lin Chen 0015, Baowen Xu",Stay Professional and Efficient - Automatically Generate Titles for Your Bug Reports.,https://doi.org/10.1145/3324884.3416538,ASE2020
"Zhe Liu, Chunyang Chen, Junjie Wang 0001, Yuekai Huang, Jun Hu, Qing Wang 0001",Owl Eyes - Spotting UI Display Issues via Visual Understanding.,https://doi.org/10.1145/3324884.3416547,ASE2020
