AUTHORS,TITLE,DOI,Venue
"Weijun Shen, Yanhui Li, Lin Chen 0015, Yuanlei Han, Yuming Zhou, Baowen Xu",Multiple-Boundary Clustering and Prioritization to Promote Neural Network Retraining.,https://doi.org/10.1145/3324884.3416621,ASE2020
"Bihuan Chen 0001, Linlin Chen, Chen Zhang, Xin Peng 0001",BUILDFAST - History-Aware Build Outcome Prediction for Fast Feedback and Reduced Cost in Continuous Integration.,https://doi.org/10.1145/3324884.3416616,ASE2020
"Xiaoning Du, Yi Li 0008, Xiaofei Xie, Lei Ma 0003, Yang Liu 0003, Jianjun Zhao",Marble - Model-based Robustness Analysis of Stateful Deep Learning Systems.,https://doi.org/10.1145/3324884.3416564,ASE2020
"Hengcheng Zhu, Lili Wei, Ming Wen 0001, Yepang Liu 0001, Shing-Chi Cheung, Qin Sheng, Cui Zhou",MockSniffer - Characterizing and Recommending Mocking Decisions for Unit Tests.,https://doi.org/10.1145/3324884.3416539,ASE2020
"Anjana Perera, Aldeida Aleti, Marcel Böhme, Burak Turhan",Defect Prediction Guided Search-Based Software Testing.,https://doi.org/10.1145/3324884.3416612,ASE2020
"Xiaoxue Ren, Xinyuan Ye, Zhenchang Xing, Xin Xia 0001, Xiwei Xu, Liming Zhu, Jianling Sun",API-Misuse Detection Driven by Fine-Grained API-Constraint Knowledge Graph.,https://doi.org/10.1145/3324884.3416551,ASE2020
"Fang Liu, Ge Li 0001, Yunfei Zhao, Zhi Jin",Multi-task Learning based Pre-trained Language Model for Code Completion.,https://doi.org/10.1145/3324884.3416591,ASE2020
"Qianyu Guo, Xiaofei Xie, Yi Li, Xiaoyu Zhang, Yang Liu, Xiaohong Li 0001, Chao Shen",Audee - Automated Testing for Deep Learning Frameworks.,https://doi.org/10.1145/3324884.3416571,ASE2020
"Guoliang Dong, Jingyi Wang 0004, Jun Sun 0001, Yang Zhang, Xinyu Wang 0001, Ting Dai, Jin Song Dong, Xingen Wang",Towards Interpreting Recurrent Neural Networks through Probabilistic Abstraction.,https://doi.org/10.1145/3324884.3416592,ASE2020
"Martin Kellogg, Martin Schäf, Serdar Tasiran, Michael D. Ernst",Continuous Compliance.,https://doi.org/10.1145/3324884.3416593,ASE2020
