AUTHORS,TITLE,DOI,Venue
"Antoine Pietri, Guillaume Rousseau, Stefano Zacchiroli",Forking Without Clicking - on How to Identify Software Repository Forks.,https://doi.org/10.1145/3379597.3387450,MSR2020
"Ang Jia, Ming Fan, Xi Xu, Di Cui, Wenying Wei, Zijiang Yang, Kai Ye, Ting Liu 0002",From Innovations to Prospects - What Is Hidden Behind Cryptocurrencies?,https://doi.org/10.1145/3379597.3387439,MSR2020
"Sakib Haque, Alexander LeClair, Lingfei Wu, Collin McMillan",Improved Automatic Summarization of Subroutines via Attention to File Context.,https://doi.org/10.1145/3379597.3387449,MSR2020
"Davide Spadini, Martin Schvarcbacher, Ana-Maria Oprescu, Magiel Bruntink, Alberto Bacchelli",Investigating Severity Thresholds for Test Smells.,https://doi.org/10.1145/3379597.3387453,MSR2020
"Yang Chen, Andrew E. Santosa, Ming Yi Ang, Abhishek Sharma 0002, Asankhaya Sharma, David Lo 0001",A Machine Learning Approach for Vulnerability Curation.,https://doi.org/10.1145/3379597.3387461,MSR2020
"Hongbo Fang, Daniel Klug, Hemank Lamba, James D. Herbsleb, Bogdan Vasilescu",Need for Tweet - How Open Source Developers Talk About Their GitHub Work on Twitter.,https://doi.org/10.1145/3379597.3387466,MSR2020
"Biruk Asmare Muse, Mohammad Masudur Rahman 0001, Csaba Nagy 0001, Anthony Cleve, Foutse Khomh, Giuliano Antoniol","On the Prevalence, Impact, and Evolution of SQL Code Smells in Data-Intensive Systems.",https://doi.org/10.1145/3379597.3387467,MSR2020
"Omar El Zarif, Daniel Alencar da Costa, Safwat Hassan, Ying Zou 0001",On the Relationship between User Churn and Software Issues.,https://doi.org/10.1145/3379597.3387456,MSR2020
"Triet Huynh Minh Le, David Hin, Roland Croft, Muhammad Ali Babar",PUMiner - Mining Security Posts from Developer Question and Answer Websites with PU Learning.,https://doi.org/10.1145/3379597.3387443,MSR2020
"Nan Yang 0009, Pieter J. L. Cuijpers, Ramon R. H. Schiffelers, Johan Lukkien, Alexander Serebrenik",Painting Flowers - Reasons for Using Single-State State Machines in Model-Driven Engineering.,https://doi.org/10.1145/3379597.3387452,MSR2020
