AUTHORS,TITLE,DOI,Venue
"Yao Lu, Xinjun Mao, Minghui Zhou, Yang Zhang, Tao Wang, Zude Li",Haste Makes Waste: An Empirical Study of Fast Answers in Stack Overflow,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00013,ICSME2020
"Ying Wang, Bihuan Chen, Kaifeng Huang, Bowen Shi, Congying Xu, Xin Peng, Yijian Wu, Yang Liu","An Empirical Study of Usages, Updates and Risks of Third-Party Libraries in Java Projects",https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00014,ICSME2020
J. Kruger and R. Hebig,What Developers (Care to) Recall: An Interview Survey on Smaller Systems,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00015,ICSME2020
"Shudi Shao, Zhengyi Qiu, Xiao Yu, Wei Yang, Guoliang Jin, Tao Xie, Xintao Wu",Database-Access Performance Antipatterns in Database-Backed Web Applications,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00016,ICSME2020
"Ting Zhang, Bowen Xu, Ferdian Thung, Stefanus Agus Haryono, David Lo, Lingxiao Jiang",Sentiment Analysis for Software Engineering: How Far Can Pre-trained Transformer Models Go?,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00017,ICSME2020
"C. Zhu, Y. Li, J. Rubin and M. Chechik",GenSlice: Generalized Semantic History Slicing,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00018,ICSME2020
D. Gaston and J. Clause,A Method for Finding Missing Unit Tests,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00019,ICSME2020
"M. Openja, B. Adams and F. Khomh",Analysis of Modern Release Engineering Topics : A Large-Scale Study using StackOverflow ,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00020,ICSME2020
"W. Li, H. Qin, S. Yan, B. Shen and Y. Chen",Learning Code-Query Interaction for Enhancing Code Searches,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00021,ICSME2020
"A. Trautsch, S. Herbold and J. Grabowski",Static source code metrics and static analysis warnings for fine-grained just-in-time defect prediction,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00022,ICSME2020
