AUTHORS,TITLE,DOI,Venue
"P. Zhang, F. Xiao and X. Luo",A Framework and DataSet for Bugs in Ethereum Smart Contracts,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00023,ICSME2020
"J. Yasmin, Y. Tian and J. Yang",A First Look at the Deprecation of RESTful APIs: An Empirical Study,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00024,ICSME2020
"E. Biswas, M. Karabulut, L. Pollock and K. Vijay-Shanker",Achieving Reliable Sentiment Analysis in the Software Engineering Domain using BERT,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00025,ICSME2020
"L. Silva, P. Borba, W. Mahmood, T. Berger and J. Moisakis",Detecting Semantic Conflicts via Automated Behavior Change Detection,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00026,ICSME2020
J. Sillito and E. Kutomi,Failures and Fixes: A Study of Software System Incident Response,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00027,ICSME2020
"X. Xu, C. Zou and J. Xue",Every Mutation Should Be Rewarded: Boosting Fault Localization with Mutated Predicates,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00028,ICSME2020
"Mingyang Li, Ye Yang, Lin Shi, Qing Wang, Jun Hu, Xinhua Peng, Weimin Liao, Guizhen Pi",Automated Extraction of Requirement Entities by Leveraging LSTM-CRF and Transfer Learning,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00029,ICSME2020
"M. Mondal, C. Roy and K. Schneider",A Fine-Grained Analysis on the Inconsistent Changes in Code Clones,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00030,ICSME2020
D. Pizzolotto and K. Inoue,Identifying Compiler and Optimization Options from Binary Code using Deep Learning Approaches,https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00031,ICSME2020
"J. Zhu, C. Wan, P. Nie, Y. Chen and Z. Su","Guided, Deep Testing of X.509 Certificate Validation via Coverage Transfer Graphs",https://doi.ieeecomputersociety.org/10.1109/ICSME46990.2020.00032,ICSME2020
