AUTHORS,TITLE,DOI,Venue
"Sahar Mehrpour, Thomas D. LaToza, Hamed Sarvari",RulePad - interactive authoring of checkable design rules.,https://doi.org/10.1145/3368089.3409751,FSE2020
"Xin Tan, Minghui Zhou, Zeyu Sun",A first look at good first issues on GitHub.,https://doi.org/10.1145/3368089.3409746,FSE2020
"Phillip Merlin Uesbeck, Cole S. Peterson, Bonita Sharif, Andreas Stefik",A randomized controlled trial on the effects of embedded computer language switching.,https://doi.org/10.1145/3368089.3409701,FSE2020
"Jefferson De Oliveira Silva, Igor Wiese, Daniel M. Germán, Christoph Treude, Marco Aurélio Gerosa, Igor Steinmacher",A theory of the engagement in open source projects via summer of code programs.,https://doi.org/10.1145/3368089.3409724,FSE2020
"Jacob Krüger, Thorsten Berger",An empirical analysis of the costs of clone- and platform-oriented software reuse.,https://doi.org/10.1145/3368089.3409684,FSE2020
"Linda Erlenhov, Francisco Gomes de Oliveira Neto, Philipp Leitner 0001",An empirical study of bots in software development - characteristics and challenges from a practitioner&apos;s perspective.,https://doi.org/10.1145/3368089.3409680,FSE2020
"Yu Huang 0015, Kevin Leach, Zohreh Sharafi, Nicholas McKay, Tyler Santander, Westley Weimer","Biases and differences in code review using medical imaging and eye-tracking - genders, humans, and machines.",https://doi.org/10.1145/3368089.3409681,FSE2020
"Ben Hermann, Stefan Winter 0001, Janet Siegmund",Community expectations for research artifacts and evaluation processes.,https://doi.org/10.1145/3368089.3409767,FSE2020
"Mahnaz Behroozi, Shivani Shirolkar, Titus Barik, Chris Parnin",Does stress impact technical interview performance?,https://doi.org/10.1145/3368089.3409712,FSE2020
"Yvonne Dittrich, Christian Bo Michelsen, Paolo Tell, Pernille Lous, Allan Ebdrup",Exploring the evolution of software practices.,https://doi.org/10.1145/3368089.3409766,FSE2020
