AUTHORS,TITLE,DOI,Venue
Jorge Melegati and Xiaofeng Wang,Case Survey Studies in Software Engineering Research,https://doi.org/10.1145/3382494.3410683,ESEM2020
"Mubin Ul Haque, Leonardo Horn Iwaya, and M. Ali Babar",Challenges in Docker Development: A Large-scale Study Using Stack Overflow,https://doi.org/10.1145/3382494.3410693,ESEM2020
Andreas Schuler and Gabriele Anderst-Kotsis,Characterizing Energy Consumption of Third-Party API Libraries using API Utilization Profiles,https://doi.org/10.1145/3382494.3410688,ESEM2020
"Martin Forsberg Lie, Mary Sánchez-Gordón, and Ricardo Colomo-Palacios",DevOps in an ISO 13485 Regulated Environment: A Multivocal Literature Review,https://doi.org/10.1145/3382494.3410679,ESEM2020
"Aravind Nair, Avijit Roy, and Karl Meinke",FuncGNN: A Graph Neural Network Approach to Program Similarity,https://doi.org/10.1145/3382494.3410675,ESEM2020
Tapajit Dey and Audris Mockus,Effect of Technical and Social Factors on Pull Request Quality for the NPM Ecosystem,https://doi.org/10.1145/3382494.3410685,ESEM2020
"Kamonphop Srisopha, Daniel Link, Devendra Swami, and Barry Boehm",Learning Features that Predict Developer Responses for iOS App Store Reviews,https://doi.org/10.1145/3382494.3410686,ESEM2020
Arthur-Jozsef Molnar and Simona Motogna,Long-Term Evaluation of Technical Debt in Open-Source Software,https://doi.org/10.1145/3382494.3410673,ESEM2020
"Zakaria Ournani, Romain Rouvoy, Pierre Rust, and Joel Penhoat",On Reducing the Energy Consumption of Software: From Hurdles to Requirements,https://doi.org/10.1145/3382494.3410678,ESEM2020
Bruno Gois Mateus and Matias Martinez,"On the adoption, usage and evolution of Kotlin features in Android development",https://doi.org/10.1145/3382494.3410676,ESEM2020
