AUTHORS,TITLE,DOI,Venue
"Yangyang Shu, Yulei Sui, Hongyu Zhang, and Guandong Xu","Yangyang Shu, Yulei Sui, Hongyu Zhang, and Guandong Xu",https://doi.org/10.1145/3382494.3410677,ESEM2020
"Yuekai Huang, Junjie Wang, Song Wang, Zhe Liu, Yuanzhe Hu, and Qing Wang",Quest for the Golden Approach: An Experimental Evaluation of Duplicate Crowdtesting Reports Detection,https://doi.org/10.1145/3382494.3410694,ESEM2020
Carl Martin Rosenberg and Leon Moonen,Spectrum-Based Log Diagnosis,https://doi.org/10.1145/3382494.3410684,ESEM2020
"Denisse Martinez Mejorado, Razieh Saremi, Ye Yang, and Jose E. Ramirez-Marquez",Study on Patterns and Effect of Task Diversity in Software Crowdsourcing,https://doi.org/10.1145/3382494.3410689,ESEM2020
"Any Caroliny D. Batista, Renata M.C.R. de Souza, Fabio Q. B. da Silva, Leandro de Almeida Melo, and George Marsicano",Teamwork Quality and Team Success in Software Development: A Non-exact Replication Study,https://doi.org/10.1145/3382494.3410632,ESEM2020
"Juri Di Rocco, Davide Di Ruscio, Claudio Di Sipio, Phuong Nguyen, and Riccardo Rubei",TopFilter: An Approach to Recommend Relevant GitHub Topics,https://doi.org/10.1145/3382494.3410690,ESEM2020
Ying Meng and Gregory Gay,Understanding The Impact of Solver Choice in Model-Based Test Generation,https://doi.org/10.1145/3382494.3410674,ESEM2020
"Luigi Lavazza, Geng Liu, and Roberto Meli",Using Extremely Simplified Functional Size Measures for Effort Estimation: an Empirical Study,https://doi.org/10.1145/3382494.3410691,ESEM2020
"Chong Wang, Yaqian Tang, Peng Liang, Maya Daneva, and Marten van Sinderen",What Industry Wants from Requirements Engineers in China? An Exploratory and Comparative Study on RE Job Ads,https://doi.org/10.1145/3382494.3410672,ESEM2020
"Mohammad Ghafari, Timm Gross, Davide Fucci, and Michael Felderer",Why Research on Test-Driven Development is Inconclusive?,https://doi.org/10.1145/3382494.3410687,ESEM2020
"Edna Dias Canedo, Rodrigo Bonifácio, Márcio Vinicius Okimoto, Alexander Serebrenik, Gustavo Pinto, and Eduardo Monteiro",Work Practices and Perceptions from Women Core Developers in OSS Communities,https://doi.org/10.1145/3382494.3410682,ESEM2020
