AUTHORS,TITLE,DOI,VENUE
'Yi Wang','Emotions Extracted from Text vs. True Emotions-An Empirical Evaluation in SE Context. 230-242',,ASE19
"'C. M. Khaled Saifullah, Muhammad Asaduzzaman, Chanchal K. Roy'",'Learning from Examples to Find Fully Qualified Names of API Elements in Code Snippets. 243-254',,ASE19
"'Jiajun Jiang, Luyao Ren, Yingfei Xiong, Lingming Zhang'",'Inferring Program Transformations From Singular Examples via Big Code. 255-266',,ASE19
"'Dongjie He, Haofeng Li, Lei Wang, Haining Meng, Hengjie Zheng, Jie Liu, Shuangwei Hu, Lian Li, Jingling Xue'",'Performance-Boosting Sparsification of the IFDS Algorithm with Applications to Taint Analysis. 267-279',,ASE19
"'Haoyu Wang, Hongxuan Liu, Xusheng Xiao, Guozhu Meng, Yao Guo'",'Characterizing Android App Signing Issues. 280-292',,ASE19
"'Tamjid Al Rahat, Yu Feng, Yuan Tian'",'OAUTHLINT: An Empirical Study on OAuth Bugs in Android Applications. 293-304',,ASE19
"'Junjie Chen, Guancheng Wang, Dan Hao, Yingfei Xiong, Hongyu Zhang, Lu Zhang'",'History-Guided Configuration Diversification for Compiler Test-Program Generation. 305-316',,ASE19
"'Daniil Stepanov, Marat Akhin, Mikhail A. Belyaev'",'ReduKtor: How We Stopped Worrying About Bugs in Kotlin Compiler. 317-326',,ASE19
"'Umair Z. Ahmed, Renuka Sindhgatta, Nisheeth Srivastava, Amey Karkare'",'Targeted Example Generation for Compilation Errors. 327-338',,ASE19
"'Haicheng Chen, Wensheng Dou, Yanyan Jiang, Feng Qin'",'Understanding Exception-Related Bugs in Large-Scale Cloud Systems. 339-351',,ASE19
