AUTHORS,TITLE,DOI,Venue
"Zeinab Abou Khalil, Eleni Constantinou, Tom Mens, Laurence Duchien, Clément Quinton",A Longitudinal Analysis of Bug Handling Across Eclipse Releases,,ICSME2019
"Théo Zimmermann, Annalí Casanueva Artís",Impact of Switching Bug Trackers: A Case Study on a Medium-Sized Open Source Project,,ICSME2019
"Yigit Küçük, Tim A. D. Henderson, Andy Podgurski",The Impact of Rare Failures on Statistical Fault Localization: The Case of the Defects4J Suite,,ICSME2019
"Luis Cruz, Rui Abreu, John C. Grundy, Li Li, Xin Xia",Do Energy-Oriented Changes Hinder Maintainability? ,,ICSME2019
"Christopher Vendome, Diana Solano, Santiago Liñán, Mario Linares-Vásquez",Can Everyone use my app? An Empirical Study on Accessibility in Android Apps,,ICSME2019
"Yingjun Lyu, Ali Alotaibi, William G. J. Halfond",Quantifying the Performance Impact of SQL Antipatterns on Mobile Applications,,ICSME2019
"Mian Wan, Negarsadat Abolhassani, Ali Alotaibi, William G. J. Halfond",An Empirical Study of UI Implementations in Android Applications,,ICSME2019
"Kamonphop Srisopha, Chukiat Phonsom, Keng Lin, Barry W. Boehm","Same App, Different Countries: A Preliminary User Reviews Study on Most Downloaded iOS Apps",,ICSME2019
"Aindrila Sarkar, Peter C. Rigby, Béla Bartalos",Improving Bug Triaging with High Confidence Predictions at Ericsson,,ICSME2019
"Renaud Rwemalika, Marinos Kintis, Mike Papadakis, Yves Le Traon, Pierre Lorrach",An Industrial Study on the Differences between Pre-Release and Post-Release Bugs,,ICSME2019
