AUTHORS,TITLE,DOI,Venue
"Jonas Fritzsch, Justus Bogner, Stefan Wagner, Alfred Zimmermann","Microservices Migration in Industry: Intentions, Strategies, and Challenges",,ICSME2019
"Thomas Krismayer, Michael Vierhauser, Rick Rabiser, Paul Grünbacher",Comparing Constraints Mined From Execution Logs to Understand Software Evolution,,ICSME2019
"Effat Farhana, Nasif Imtiaz, Akond Rahman",Synthesizing Program Execution Time Discrepancies in Julia Used for Scientific Software,,ICSME2019
"Chak Shun Yu, Christoph Treude, Maurício Finavaro Aniche",Comprehending Test Code: An Empirical Study,,ICSME2019
"John Johnson, Sergio Lubo, Nishitha Yedla, Jairo Aponte, Bonita Sharif",An Empirical Study Assessing Source Code Readability in Comprehension,,ICSME2019
"Mohamed A. Oumaziz, Jean-Rémy Falleri, Xavier Blanc, Tegawendé F. Bissyandé, Jacques Klein",Handling Duplicates in Dockerfiles Families: Learning from Experts,,ICSME2019
"Md. Rayhanur Rahman, Akond Rahman, Laurie A. Williams","Share, But be Aware: Security Smells in Python Gists",,ICSME2019
"Natthawute Sae-Lim, Shinpei Hayashi, Motoshi Saeki",Can Automated Impact Analysis Techniques Help Predict Decaying Modules?,,ICSME2019
"Justus Bogner, Jonas Fritzsch, Stefan Wagner, Alfred Zimmermann",Assuring the Evolvability of Microservices: Insights into Industry Practices and Challenges,,ICSME2019
"Darius Sas, Paris Avgeriou, Francesca Arcelli Fontana",Investigating Instability Architectural Smells Evolution: An Exploratory Case Study,,ICSME2019
"Zack Coker, David Gray Widder, Claire Le Goues, Christopher Bogart, Joshua Sunshine",A Qualitative Study on Framework Debugging,,ICSME2019
"Michele Guerriero, Martin Garriga, Damian A. Tamburri, Fabio Palomba","Adoption, Support, and Challenges of Infrastructure-as-Code: Insights from Industry",,ICSME2019
