AUTHORS,TITLE,DOI,Venue
"Xin Zhang, Yang Chen, Yongfeng Gu, Weiqin Zou, Xiaoyuan Xie, Xiangyang Jia, Jifeng Xuan",How do Multiple Pull Requests Change the Same Code: A Study of Competing Pull Requests in GitHub,,ICSME2018
"Qi Luo, Kevin Moran, Denys Poshyvanyk, Massimiliano Di Penta",Assessing Test Case Prioritization on Real Faults and Mutants,,ICSME2018
"Stefan Fischer, Lukas Linsbauer, Alexander Egyed, Roberto Erick Lopez-Herrejon",Predicting Higher Order Structural Feature Interactions in Variable Systems,,ICSME2018
"Veit Frick, Thomas Grassauer, Fabian Beck, Martin Pinzger",Generating Accurate and Compact Edit Scripts Using Tree Differencing,,ICSME2018
"Kui Liu, Dongsun Kim, Anil Koyuncu, Li Li, Tegawendé F. Bissyandé, Yves Le Traon",A Closer Look at Real-World Patches,,ICSME2018
"Ye Wang, Na Meng, Hao Zhong",An Empirical Study of Multi-entity Changes in Real Bug Fixes,,ICSME2018
"Haoren Wang, Huzefa H. Kagdi",A Conceptual Replication Study on Bugs that Get Fixed in Open Source Software,,ICSME2018
"Fabio Palomba, Andy Zaidman, Andrea De Lucia",Automatic Test Smell Detection Using Information Retrieval Techniques,,ICSME2018
"Shengtao Yue, Qingwei Sun, Jun Ma, Xianping Tao, Chang Xu, Jian Lu",RegionDroid: A Tool for Detecting Android Application Repackaging Based on Runtime UI Region Features,,ICSME2018
"Ivano Malavolta, Roberto Verdecchia, Bojan Filipovic, Magiel Bruntink, Patricia Lago",How Maintainability Issues of Android Apps Evolve,,ICSME2018
