AUTHORS,TITLE,DOI,Venue
"Suhaib Mujahid, Rabe Abdalkareem, Emad Shihab",Studying Permission Related Issues in Android Wearable Apps,,ICSME2018
"Hamid Bagheri, Jianghao Wang, Jarod Aerts, Sam Malek","Efficient, Evolutionary Security Analysis of Interacting Android Apps",,ICSME2018
"Chris Mills, Javier Escobar-Avila, Sonia Haiduc",Automatic Traceability Maintenance via Machine Learning Classification,,ICSME2018
"Chris Mills, Jevgenija Pantiuchina, Esteban Parra, Gabriele Bavota, Sonia Haiduc",Are Bug Reports Enough for Text Retrieval-Based Bug Localization?,,ICSME2018
"Xiaoyu Liu, LiGuo Huang, Chuanyi Liu, Vincent Ng",Linking Source Code to Untangled Change Intents,,ICSME2018
"Alexandre Decan, Tom Mens, Eleni Constantinou",On the Evolution of Technical Lag in the npm Package Dependency Network,,ICSME2018
"Terese Besker, Antonio Martini, Rumesh Edirisooriya Lokuge, Kelly Blincoe, Jan Bosch","Embracing Technical Debt, from a Startup Company Perspective",,ICSME2018
"Jason Lecerf, John Brant, Thierry Goubier, Stéphane Ducasse",A Reflexive and Automated Approach to Syntactic Pattern Matching in Code Transformations,,ICSME2018
"Matthieu Jimenez, Maxime Cordy, Yves Le Traon, Mike Papadakis",On the Impact of Tokenizer and Parameters on N-Gram Based Code Analysis,,ICSME2018
"Serena Elisa Ponta, Henrik Plate, Antonino Sabetta",Beyond Metadata: Code-Centric and Usage-Based Analysis of Known Vulnerabilities in Open-Source Software,,ICSME2018
