AUTHORS,TITLE,DOI,Venue
"Wontae Choi, Koushik Sen, George C. Necula, Wenyu Wang",DetReduce: minimizing Android GUI test suites for regression testing,,ICSE2018
"Michaël Marcozzi, Sébastien Bardin, Nikolai Kosmatov, Mike Papadakis, Virgile Prevosto, Loïc Correnson",Time to clean your test objectives,,ICSE2018
"Jung-Hyun Kwon, In-Young Ko, Gregg Rothermel",Prioritizing browser environments for web application test execution,,ICSE2018
"Dayi Lin, Cor-Paul Bezemer, Ahmed E. Hassan",An empirical study of early access games on the steam platform,,ICSE2018
"Benjamin Danglot, Philippe Preux, Benoit Baudry, Martin Monperrus",Correctness attraction: a study of stability of software behavior under runtime perturbation,,ICSE2018
"Fabio Palomba, Gabriele Bavota, Massimiliano Di Penta, Fausto Fasano, Rocco Oliveto, Andrea De Lucia",On the diffuseness and the impact on maintainability of code smells: a large scale empirical investigation,,ICSE2018
"Nikolaos Tsantalis, Matin Mansouri, Laleh Mousavi Eshkevari, Davood Mazinanian, Danny Dig",Accurate and efficient refactoring detection in commit history,,ICSE2018
"Radu Calinescu, Danny Weyns, Simos Gerasimou, M. Usman Iftikhar, Ibrahim Habli, Tim Kelly",ENTRUST: engineering trustworthy self-adaptive software with dynamic assurance cases,,ICSE2018
"Sylvain Frey, Awais Rashid, Pauline Anthonysamy, Maria Pinto-Albuquerque, Syed Asad Naqvi","The good, the bad and the ugly: a study of security decisions in a cyber-physical systems game",,ICSE2018
"Joshua Garcia, Mahmoud Hammad, Sam Malek","Lightweight, obfuscation-resilient detection and family identification of Android malware",,ICSE2018
