AUTHORS,TITLE,DOI,Venue
"Zhiyong Shan, Iulian Neamtiu, Raina Samuel",Self-hiding behavior in Android apps: detection and characterization,,ICSE2018
"Fabio Palomba, Annibale Panichella, Andy Zaidman, Rocco Oliveto, Andrea De Lucia",The scent of a smell: an extensive comparison between textual and structural smells,,ICSE2018
"Jibesh Patra, Pooja N. Dixit, Michael Pradel",ConflictJS: finding and understanding conflicts between JavaScript libraries,,ICSE2018
"Herman Banken, Erik Meijer, Georgios Gousios",Debugging data flows in reactive programs,,ICSE2018
"Jacob Krüger, Jens Wiemann, Wolfram Fenske, Gunter Saake, Thomas Leich",Do you remember this source code?,,ICSE2018
"Saba Alimadadi, Ali Mesbah, Karthik Pattabiraman",Inferring hierarchical motifs from execution traces,,ICSE2018
"Ameer Armaly, Paige Rodeghero, Collin McMillan",A comparison of program comprehension strategies by blind and sighted programmers,,ICSE2018
"Yingfei Xiong, Xinyuan Liu, Muhan Zeng, Lu Zhang, Gang Huang",Identifying patch correctness in test-based program repair,,ICSE2018
"Junwen Yang, Pranav Subramaniam, Shan Lu, Cong Yan, Alvin Cheung",How not to structure your database-backed web applications: a study of performance bugs in the wild,,ICSE2018
"Zhifei Chen, Bihuan Chen, Lu Xiao, Xiao Wang, Lin Chen, Yang Liu, Baowen Xu",Speedoo: prioritizing performance optimization opportunities,,ICSE2018
