AUTHORS,TITLE,DOI,Venue
"Muhammad Moiz Arif, Weiyi Shang, Emad Shihab",Empirical study on the discrepancy between performance testing results from virtual and physical environments,,ICSE2018
"Catarina Gralha, Daniela E. Damian, Anthony I. Wasserman, Miguel Goulão, João Araújo",The evolution of requirements practices in software startups,,ICSE2018
"Michael Rath, Jacob Rendall, Jin L. C. Guo, Jane Cleland-Huang, Patrick Mäder",Traceability in the wild: automatically augmenting incomplete trace links,,ICSE2018
"Alireza Sadeghi, Reyhaneh Jabbarvand, Negar Ghorbani, Hamid Bagheri, Sam Malek",A temporal permission analysis and enforcement framework for Android,,ICSE2018
"Eiji Adachi Barbosa, Alessandro Garcia",Global-aware recommendations for repairing violations in exception handling,,ICSE2018
"Chu Chen, Cong Tian, Zhenhua Duan, Liang Zhao",RFC-directed differential testing of certificate validation in SSL/TLS implementations,,ICSE2018
"Hengbiao Yu, Zhenbang Chen, Ji Wang, Zhendong Su, Wei Dong",Symbolic verification of regular properties,,ICSE2018
"Sergio Segura, José Antonio Parejo, Javier Troya, Antonio Ruiz Cortés",Metamorphic testing of RESTful web APIs,,ICSE2018
"Narayan Ramasubbu, Chris F. Kemerer",Integrating technical debt management and software quality management processes: a framework and field tests,,ICSE2018
"Shaowei Wang, Tse-Hsun Chen, Ahmed E. Hassan",Understanding the factors for fast answers in technical Q&A websites: an empirical study of four stack exchange websites,,ICSE2018
