AUTHORS,TITLE,DOI,Venue
"Calvin Loncaric, Michael D. Ernst, Emina Torlak",Generalized data structure synthesis,,ICSE2018
"Oszkár Semeráth, András Szabolcs Nagy, Dániel Varró",A graph solver for the automated generation of consistent domain-specific models,,ICSE2018
"Shafiul Azam Chowdhury, Soumik Mohian, Sidharth Mehra, Siddhant Gawsane, Taylor T. Johnson, Christoph Csallner",Automatically finding bugs in a commercial cyber-physical system development tool chain with SLforge,,ICSE2018
"Nick C. Bradley, Thomas Fritz, Reid Holmes",Context-aware conversational developer assistants,,ICSE2018
"Christopher J. Mendez, Hema Susmita Padala, Zoe Steine-Hanson, Claudia Hilderbrand, Amber Horvath, Charles Hill, Logan Simpson, Nupoor Patil, Anita Sarma, Margaret M. Burnett","Open source barriers to entry, revisited: a sociotechnical perspective",,ICSE2018
"Raja Ben Abdessalem, Shiva Nejati, Lionel C. Briand, Thomas Stifter",Testing vision-based control systems using learnable evolutionary algorithms,,ICSE2018
"Jianmei Guo, Kai Shi",To preserve or not to preserve invalid solutions in search-based software engineering: a case study in software product lines,,ICSE2018
"Jun-Wei Lin, Reyhaneh Jabbarvand, Joshua Garcia, Sam Malek",Nemo: multi-criteria test-suite minimization with integer nonlinear programming,,ICSE2018
"Amritanshu Agrawal, Tim Menzies","Is ""better data"" better than ""better data miners""?: on the benefits of tuning SMOTE for defect prediction",,ICSE2018
"Neil C. Borle, Meysam Feghhi, Eleni Stroulia, Russell Greiner, Abram Hindle",Analyzing the effects of test driven development in GitHub,,ICSE2018
