AUTHORS,TITLE,DOI,Venue
"Julien Lange, Nicholas Ng, Bernardo Toninho, Nobuko Yoshida",A static verification framework for message passing in Go using behavioural types,,ICSE2018
"Stewart Grant, Hendrik Cech, Ivan Beschastnikh",Inferring and asserting distributed system invariants,,ICSE2018
"Arjun Radhakrishna, Nicholas V. Lewchenko, Shawn Meier, Sergio Mover, Krishna Chaitanya Sripada, Damien Zufferey, Bor-Yuh Evan Chang, Pavol Cerný",DroidStar: callback typestates for Android classes,,ICSE2018
"Zhaogui Xu, Shiqing Ma, Xiangyu Zhang, Shuofei Zhu, Baowen Xu",Debugging with intelligence via probabilistic inference,,ICSE2018
"Dirk Beyer, Marie-Christine Jakobs, Thomas Lemberger, Heike Wehrheim",Reducer-based construction of conditional verifiers,,ICSE2018
"Talita Vieira Ribeiro, Jobson L. Massollar, Guilherme Horta Travassos",Challenges and pitfalls on surveying evidence in the software engineering technical literature: an exploratory study with novices,,ICSE2018
"Rolando P. Reyes, Oscar Dieste, Efraín R. Fonseca C., Natalia Juristo",Statistical errors in software engineering experiments: a preliminary literature review,,ICSE2018
"Xin Huang, He Zhang, Xin Zhou, Muhammad Ali Babar, Song Yang",Synthesizing qualitative research in software engineering: a critical review,,ICSE2018
"Luca Gazzola, Daniela Micucci, Leonardo Mariani",Automatic software repair: a survey,,ICSE2018
"Jeroen Castelein, Maurício Finavaro Aniche, Mozhan Soltani, Annibale Panichella, Arie van Deursen",Search-based test data generation for SQL queries,,ICSE2018
"Yinxing Xue, Yan-Fu Li",Multi-objective integer programming approaches for solving optimal feature selection problem: a new perspective on multi-objective optimization problems in SBSE,,ICSE2018
"Hong Lu, Shuai Wang, Tao Yue, Shaukat Ali, Jan F. Nygård",Automated refactoring of OCL constraints with search,,ICSE2018
"Sooyoung Cha, Seongjoon Hong, Junhee Lee, Hakjoo Oh",Automatically generating search heuristics for concolic testing,,ICSE2018
