AUTHORS,TITLE,DOI,Venue
"Zhijian He, Yao Chen, Enyan Huang, Qixin Wang, Yu Pei, Haidong Yuan",A system identification based Oracle for control-CPS software fault localization,,ICSE 2019
"Yu Zhao, Tingting Yu, Ting Su, Yang Liu, Wei Zheng, Jingzhi Zhang, William G. J. Halfond",ReCDroid: automatically reproducing Android application crashes from bug reports,,ICSE 2019
"Anunay Amar, Peter C. Rigby",Mining historical test logs to predict bugs and localize faults in the test logs,,ICSE 2019
"Zhenhao Li, Tse-Hsun (Peter) Chen, Jinqiu Yang, Weiyi Shang",Dlfinder: characterizing and detecting duplicate logging code smells,,ICSE 2019
"Akond Rahman, Chris Parnin, Laurie A. Williams",The seven sins: security smells in infrastructure as code scripts,,ICSE 2019
"Shirin Nilizadeh, Yannic Noller, Corina S. Pasareanu",DifFuzz: differential fuzzing for side-channel analysis,,ICSE 2019
"Manish Motwani, Yuriy Brun",Automatically generating precise Oracles from structured natural language specifications,,ICSE 2019
"Todd Sedano, Paul Ralph, Cécile Péraire",The product backlog,,ICSE 2019
"Minxue Pan, Shouyu Chen, Yu Pei, Tian Zhang, Xuandong Li",Easy modelling and verification of unpredictable and preemptive interrupt-driven systems,,ICSE 2019
"Sora Bae, Sungho Lee, Sukyoung Ryu",Towards understanding and reasoning about Android interoperations,,ICSE 2019
