AUTHORS,TITLE,DOI,Venue
"Hoan Anh Nguyen, Tien N. Nguyen, Danny Dig, Son Nguyen, Hieu Tran, Michael Hilton","Graph-based mining of in-the-wild, fine-grained, semantic code change patterns",,ICSE 2019
"Max Lillack, Stefan Stanciulescu, Wilhelm Hedman, Thorsten Berger, Andrzej Wasowski",Intention-based integration of software variants,,ICSE 2019
"Ruben Heradio, David Fernández-Amorós, Christoph Mayr-Dorn, Alexander Egyed",Supporting the statistical analysis of variability models,,ICSE 2019
"Sami Lazreg, Maxime Cordy, Philippe Collet, Patrick Heymans, Sébastien Mosser",Multifaceted automated analyses for variability-intensive embedded systems,,ICSE 2019
"Ming Wen, Yepang Liu, Rongxin Wu, Xuan Xie, Shing-Chi Cheung, Zhendong Su",Exposing library API misuses via mutation analysis,,ICSE 2019
"Lili Wei, Yepang Liu, Shing-Chi Cheung",Pivot: learning API-device correlations to facilitate Android compatibility issue detection,,ICSE 2019
"Shiyou Huang, Jianmei Guo, Sanhong Li, Xiang Li, Yumin Qi, Kingsum Chow, Jeff Huang",SafeCheck: safety enhancement of Java unsafe API,,ICSE 2019
"Rui Hao, Yang Feng, James A. Jones, Yuying Li, Zhenyu Chen",CTRAS: crowdsourced test report aggregation and summarization,,ICSE 2019
"Junjie Wang, Ye Yang, Rahul Krishna, Tim Menzies, Qing Wang",iSENSE: completion-aware crowdtesting management,,ICSE 2019
"Xin Xia, Zhiyuan Wan, Pavneet Singh Kochhar, David Lo",How practitioners perceive coding proficiency,,ICSE 2019
