AUTHORS,TITLE,DOI,Venue
"Phuong T. Nguyen, Juri Di Rocco, Davide Di Ruscio, Lina Ochoa, Thomas Degueule, Massimiliano Di Penta",FOCUS: a recommender system for mining API function calls and usage patterns,,ICSE 2019
"Davide Spadini, Fabio Palomba, Tobias Baum, Stefan Hanenberg, Magiel Bruntink, Alberto Bacchelli",Test-driven code review: an empirical study,,ICSE 2019
"Adam Alami, Marisa Leavitt Cohn, Andrzej Wasowski",Why does code review work for open source software communities?,,ICSE 2019
"Christian Kaltenecker, Alexander Grebhahn, Norbert Siegmund, Jianmei Guo, Sven Apel",Distance-based sampling of software configuration spaces,,ICSE 2019
"Huong Ha, Hongyu Zhang",DeepPerf: performance prediction for configurable software with deep sparse neural network,,ICSE 2019
"Shaiful Alam Chowdhury, Abram Hindle, Rick Kazman, Takumi Shuto, Ken Matsui, Yasutaka Kamei",GreenBundle: an empirical study on the energy impact of bundled processing,,ICSE 2019
"Reyhaneh Jabbarvand, Jun-Wei Lin, Sam Malek",Search-based energy testing of Android,,ICSE 2019
"Xie Wang, Huaijin Wang, Zhendong Su, Enyi Tang, Xin Chen, Weijun Shen, Zhenyu Chen, Linzhang Wang, Xianpei Zhang, Xuandong Li",Global optimization of numerical programs via prioritized stochastic algebraic transformations,,ICSE 2019
"Ameya Ketkar, Ali Mesbah, Davood Mazinanian, Danny Dig, Edward Aftandilian",Type migration in ultra-large-scale codebases,,ICSE 2019
"Tanzirul Azim, Arash Alavi, Iulian Neamtiu, Rajiv Gupta",Dynamic slicing for Android,,ICSE 2019
