AUTHORS,TITLE,DOI,VENUE
"Simone Romano, Giuseppe Scanniello, Davide Fucci, Natalia Juristo, Burak Turhan",The effect of noise on software engineers' performance.,10.1145/3239235.3240496,ESEM2018
"Chong Wang, Pengwei Cui, Maya Daneva, Mohamad Kassab",Understanding what industry wants from requirements engineers - an exploration of RE jobs in Canada.,10.1145/3239235.3268916,ESEM2018
"Chong Wang, Fan Zhang, Peng Liang, Maya Daneva, Marten van Sinderen",Can app changelogs improve requirements classification from app reviews? - an exploratory study.,10.1145/3239235.3267428,ESEM2018
"Silvia Abrahão, Emilio Insfrán, Fernando González-Ladrón-de-Guevara, Marta Fernández-Diego, Carlos Cano-Genoves, Raphael Pereira de Oliveira",Comparing the effectiveness of goal-oriented languages - results from a controlled experiment.,10.1145/3239235.3267433,ESEM2018
"Syed Ahmed, Mehdi Bagherzadeh",What do concurrency developers ask about? - a large-scale study using stack overflow.,10.1145/3239235.3239524,ESEM2018
"Waad Alhoshan, Liping Zhao, Riza Batista-Navarro",Using semantic frames to identify related textual requirements - an initial validation.,10.1145/3239235.3267441,ESEM2018
"Sulaiman Aljarallah, Russell Lock",An exploratory study of software sustainability dimensions and characteristics - end user perspectives in the kingdom of Saudi Arabia (KSA).,10.1145/3239235.3239240,ESEM2018
"Nicolli Souza Rios Alves, Rodrigo Oliveira Spínola, Manoel G. Mendonça, Carolyn B. Seaman",The most common causes and effects of technical debt - first results from a global family of industrial surveys.,10.1145/3239235.3268917,ESEM2018
"María Cecilia Bastarrica, Germán Espinoza, Jacqueline Marín",Implementing agile practices - the experience of TSol.,10.1145/3239235.3268918,ESEM2018
"Pooyan Behnamghader, Patavee Meemeng, Iordanis Fostiropoulos, Di Huang, Kamonphop Srisopha, Barry W. Boehm",A scalable and efficient approach for compiling and analyzing commit history.,10.1145/3239235.3239237,ESEM2018
