AUTHORS,TITLE,DOI,VENUE
"Partha Chakraborty, Rifat Shahriyar, Anindya Iqbal, Amiangshu Bosu",Understanding the software development practices of blockchain projects - a survey.,10.1145/3239235.3240298,ESEM2018
"Panagiota Chatzipetrou, Darja Smite, Rini van Solingen",When and who leaves matters - emerging results from an empirical study of employee turnover.,10.1145/3239235.3267431,ESEM2018
"Maëlick Claes, Mika Mäntylä, Umar Farooq",On the use of emoticons in open source software development.,10.1145/3239235.3267434,ESEM2018
"Jailton Coelho, Marco Tulio Valente, Luciana Lourdes Silva, Emad Shihab",Identifying unmaintained projects in github.,10.1145/3239235.3240501,ESEM2018
"Carmen Coviello, Simone Romano, Giuseppe Scanniello",An empirical study of inadequate and adequate test suite reduction approaches.,10.1145/3239235.3240497,ESEM2018
"Qiong Feng, Yuanfang Cai, Rick Kazman, Ran Mo","The birth, growth, death and rejuvenation of software maintenance communities.",10.1145/3239235.3239246,ESEM2018
"Davide Fucci, Simone Romano, Maria Teresa Baldassarre, Danilo Caivano, Giuseppe Scanniello, Burak Turhan, Natalia Juristo",A longitudinal cohort study on the retainment of test-driven development.,10.1145/3239235.3240502,ESEM2018
"Davide Fucci, Cristina Palomares, Xavier Franch, Dolors Costal, Mikko Raatikainen, Martin Stettinger, Zijad Kurtanovic, Tero Kojo, Lars Koenig, Andreas A. Falkner, Gottfried Schenner, Fabrizio Brasca, Tomi Männistö, Alexander Felfernig, Walid Maalej",Needs and challenges for a platform to support large-scale requirements engineering - a multiple-case study.,10.1145/3239235.3240498,ESEM2018
Lucas Gren,Standards of validity and the validity of standards in behavioral software engineering research - the perspective of psychological test theory.,10.1145/3239235.3267437,ESEM2018
"Amber van der Heijden, Cosmin Broasca, Alexander Serebrenik",An empirical perspective on security challenges in large-scale agile software development.,10.1145/3239235.3267426,ESEM2018
