AUTHORS,TITLE,DOI,VENUE
Florian Hofer,"Architecture, technologies and challenges for cyber-physical systems in industry 4.0 - a systematic mapping study.",10.1145/3239235.3239242,ESEM2018
"Hennie Huijgens, Davide Spadini, Dick Stevens, Niels Visser, Arie van Deursen",Software analytics in continuous delivery - a case study on success factors.,10.1145/3239235.3240505,ESEM2018
"Matthieu Jimenez, Thierry Titcheu Chekam, Maxime Cordy, Mike Papadakis, Marinos Kintis, Yves Le Traon, Mark Harman","Are mutants really natural? - a study on how ""naturalness"" helps mutant selection.",10.1145/3239235.3240500,ESEM2018
"Seyed Alireza Sanaee Kohroudi, Mostafa Jalal, Maaz Mohiuddin, Wajeb Saab, Jean-Yves Le Boudec",Experimental validation of the suitability of virtualization-based replication for fault tolerance in real-time control of electric grids.,10.1145/3239235.3267429,ESEM2018
"Miikka Kuutila, Mika V. Mäntylä, Maëlick Claes, Marko Elovainio, Bram Adams",Using experience sampling to link software repositories with emotions and work well-being.,10.1145/3239235.3239245,ESEM2018
Katsiaryna Labunets,No search allowed - what risk modeling notation to choose?,10.1145/3239235.3239247,ESEM2018
"Welder Pinheiro Luz, Gustavo Pinto, Rodrigo Bonifácio",Building a collaborative culture - a grounded theory of well succeeded devops adoption in practice.,10.1145/3239235.3240299,ESEM2018
"Mika V. Mäntylä, Maëlick Claes, Umar Farooq",Measuring LDA topic stability from clusters of replicated runs.,10.1145/3239235.3267435,ESEM2018
"Diogo S. Mendonça, Tarcila G. da Silva, Daniel Ferreira de Oliveira, Julliany Sales Brandão, Hélio Lopes, Simone D. J. Barbosa, Marcos Kalinowski, Arndt von Staa",Applying pattern-driven maintenance - a method to prevent latent unhandled exceptions in web applications.,10.1145/3239235.3268924,ESEM2018
"Vilmar Nepomuceno, Sérgio Soares",Maintaining systematic literature reviews - benefits and drawbacks.,10.1145/3239235.3267432,ESEM2018
