AUTHORS,TITLE,DOI,VENUE
"Hilmer Neri, Guilherme Horta Travassos",Measuresoftgram - a future vision of software product quality.,10.1145/3239235.3267438,ESEM2018
"Anh Nguyen-Duc, Xiaofang Weng, Pekka Abrahamsson",A preliminary study of agility in business and production - cases of early-stage hardware startups.,10.1145/3239235.3267430,ESEM2018
"Ivan Pashchenko, Henrik Plate, Serena Elisa Ponta, Antonino Sabetta, Fabio Massacci",Vulnerable open source dependencies - counting those that matter.,10.1145/3239235.3268920,ESEM2018
"Norman Peitek, Janet Siegmund, Chris Parnin, Sven Apel, Johannes C. Hofmeister, André Brechmann",Simultaneous measurement of program comprehension with fMRI and eye tracking - a case study.,10.1145/3239235.3240495,ESEM2018
"Dan Port, William Taber",An empirical study of process policies and metrics to manage productivity and quality for maintenance of critical software systems at the jet propulsion laboratory.,10.1145/3239235.3268925,ESEM2018
"Kan Qi, Anandi Hira, Elaine Venson, Barry W. Boehm",Calibrating use case points using bayesian analysis.,10.1145/3239235.3239236,ESEM2018
"Ayushi Rastogi, Nachiappan Nagappan, Georgios Gousios, André van der Hoek",Relationship between geographical location and evaluation of developer contributions in github.,10.1145/3239235.3240504,ESEM2018
"Gema Rodríguez-Pérez, Andy Zaidman, Alexander Serebrenik, Gregorio Robles, Jesús M. González-Barahona",What if a bug has a different origin? - making sense of bugs without an explicit bug introducing change.,10.1145/3239235.3267436,ESEM2018
"Carl Martin Rosenberg, Leon Moonen",Improving problem identification via automated log clustering using dimensionality reduction.,10.1145/3239235.3239248,ESEM2018
"Emre Sahal, Ayse Tosun",Identifying bug-inducing changes for code additions.,10.1145/3239235.3267440,ESEM2018
