AUTHORS,TITLE,DOI,VENUE
"Adrian Santos, Natalia Juristo",Comparing techniques for aggregating interrelated replications in software engineering.,10.1145/3239235.3239239,ESEM2018
"Ronnie E. S. Santos, Cleyton V. C. de Magalhães, Luiz Fernando Capretz, Jorge S. Correia Neto, Fabio Q. B. da Silva, Abdelrahman Saher",Computer games are serious business and so is their quality - particularities of software testing in game development from the perspective of practitioners.,10.1145/3239235.3268923,ESEM2018
"Markus Schnappinger, Mohd Hafeez Osman, Alexander Pretschner, Markus Pizka, Arnaud Fietzke",Software quality assessment in practice - a hypothesis-driven framework.,10.1145/3239235.3268922,ESEM2018
"Junji Shimagaki, Yasutaka Kamei, Naoyasu Ubayashi, Abram Hindle",Automatic topic classification of test cases using text mining at an Android smartphone vendor.,10.1145/3239235.3268927,ESEM2018
Dag I. K. Sjøberg,An empirical study of WIP in kanban teams.,10.1145/3239235.3239238,ESEM2018
"Per Erik Strandberg, Wasif Afzal, Daniel Sundmark",Decision making and visualizations based on test results.,10.1145/3239235.3268921,ESEM2018
"Panagiotis Stratis, Vanya Yaneva, Ajitha Rajan",Assessing the effect of data transformations on test suite compilation.,10.1145/3239235.3240499,ESEM2018
"Amjed Tahir, Kwabena Ebo Bennin, Stephen G. MacDonell, Stephen Marsland",Revisiting the size effect in software fault prediction models.,10.1145/3239235.3239243,ESEM2018
"Bianca Trinkenreich, Tayana Conte, Monalessa Perini Barcellos, Gleison Santos","Defining, measuring and monitoring IT service goals and strategies - preliminary results and pitfalls from a qualitative study with IT service managers.",10.1145/3239235.3268919,ESEM2018
"Sten Vercammen, Serge Demeyer, Markus Borg, Sigrid Eldh",Speeding up mutation testing via the cloud - lessons learned for further optimisations.,10.1145/3239235.3240506,ESEM2018
