AUTHORS,TITLE,DOI,VENUE
"Ting Chen, Zihao Li, Yufei Zhang, Xiapu Luo, Ting Wang, Teng Hu, Xiuzhuo Xiao, Dong Wang, Jin Huang, Xiaosong Zhang",A Large-Scale Empirical Study on Control Flow Identification of Smart Contracts.,10.1109/ESEM.2019.8870156,ESEM2019
"Eman Abdullah AlOmar, Mohamed Wiem Mkaouer, Ali Ouni, Marouane Kessentini",On the Impact of Refactoring on the Relationship between Quality Attributes and Design Metrics.,10.1109/ESEM.2019.8870177,ESEM2019
"Adam Alami, Andrzej Wasowski",Affiliated Participation in Open Source Communities.,10.1109/ESEM.2019.8870185,ESEM2019
"Moayad Alshangiti, Hitesh Sapkota, Pradeep K. Murukannaiah, Xumin Liu, Qi Yu",Why is Developing Machine Learning Applications Challenging? A Study on Stack Overflow Posts.,10.1109/ESEM.2019.8870187,ESEM2019
"Guilherme Avelino, Eleni Constantinou, Marco Tulio Valente, Alexander Serebrenik",On the abandonment and survival of open source projects - An empirical investigation.,10.1109/ESEM.2019.8870181,ESEM2019
"Deepika Badampudi, Claes Wohlin, Tony Gorschek",An Evaluation of Knowledge Translation in Software Engineering.,10.1109/ESEM.2019.8870165,ESEM2019
"Márcio de Oliveira Barros, Vitor Padilha Gonçalves",A Function Point Formulation for the Software Release Planning Problem.,10.1109/ESEM.2019.8870188,ESEM2019
"Ana Carla Bibiano, Eduardo Fernandes, Daniel de Oliveira, Alessandro Garcia, Marcos Kalinowski, Baldoino Fonseca, Roberto Felicio Oliveira, Anderson Oliveira, Diego Cedrim",A Quantitative Study on Characteristics and Effect of Batch Refactoring on Code Smells.,10.1109/ESEM.2019.8870183,ESEM2019
"Amiangshu Bosu, Kazi Zakia Sultana",Diversity and Inclusion in Open Source Software (OSS) Projects - Where Do We Stand?,10.1109/ESEM.2019.8870179,ESEM2019
"Jim Buchan, Stephen G. MacDonell, Jennifer Yang",Effective team onboarding in Agile software development - techniques and goals.,10.1109/ESEM.2019.8870189,ESEM2019
