AUTHORS,TITLE,DOI,VENUE
"Angélica Toffano Seidel Calazans, Roberto Ávila Paldês, Edna Dias Canedo, Eloisa Toffano Seidel Masson, Fernando de A. Guimarães, Kiane Mabel Fialho Rezende, Emeli Braosi, Ricardo Ajax Dias Kosloski",Quality Requirements - Analysis of Utilization in the Systems of a Financial Institution.,10.1109/ESEM.2019.8870151,ESEM2019
"Bruno Cartaxo, Gustavo Pinto, Baldoino Fonseca, Márcio Ribeiro, Pedro Pinheiro, Maria Teresa Baldassarre, Sérgio Soares",Software Engineering Research Community Viewpoints on Rapid Reviews.,10.1109/ESEM.2019.8870144,ESEM2019
"Steve Counsell, Mahir Arzoky, Giuseppe Destefanis, Davide Taibi",On the Relationship Between Coupling and Refactoring - An Empirical Viewpoint.,10.1109/ESEM.2019.8870191,ESEM2019
"Alex Cummaudo, Rajesh Vasa, John Grundy",What should I document? A preliminary systematic mapping study into API documentation knowledge.,10.1109/ESEM.2019.8870148,ESEM2019
"Emre Dogan, Eray Tüzün, K. Ayberk Tecimer, H. Altay Güvenir",Investigating the Validity of Ground Truth in Code Reviewer Recommendation Studies.,10.1109/ESEM.2019.8870190,ESEM2019
"Fabian Fagerholm, Christoph Becker, Alexander Chatzigeorgiou, Stefanie Betz, Leticia Duboc, Birgit Penzenstadler, Rahul Mohanani, Colin C. Venters",Temporal Discounting in Software Engineering - A Replication Study.,10.1109/ESEM.2019.8870161,ESEM2019
"Wagner Felidré, Leonardo B. Furtado, Daniel Alencar da Costa, Bruno Cartaxo, Gustavo Pinto",Continuous Integration Theater.,10.1109/ESEM.2019.8870152,ESEM2019
"Larissa Ferreira, Sidney C. Nogueira, Lucas Lima, Liliane Fonseca, Waldemar Ferreira",Initial findings on the evaluation of a model-based testing tool in the test design process.,10.1109/ESEM.2019.8870140,ESEM2019
"Mohammad Ghafari, Markus Eggiman, Oscar Nierstrasz",Testability First!,10.1109/ESEM.2019.8870170,ESEM2019
"Mohammadreza Hazhirpasand, Mohammad Ghafari, Stefan Krüger, Eric Bodden, Oscar Nierstrasz",The Impact of Developer Experience in Using Java Cryptography.,10.1109/ESEM.2019.8870184,ESEM2019
