AUTHORS,TITLE,DOI,VENUE
"Matthew Kelly, Christoph Treude, Alex Murray",A Case Study on Automated Fuzz Target Generation for Large Codebases.,10.1109/ESEM.2019.8870150,ESEM2019
"Luiz Carlos da Fonseca Lage, Marcos Kalinowski, Daniela Trevisan, Rodrigo O. Spínola",Usability Technical Debt in Software Projects - A Multi-Case Study.,10.1109/ESEM.2019.8870180,ESEM2019
"Valentina Lenarduzzi, Davide Fucci",Towards a Holistic Definition of Requirements Debt.,10.1109/ESEM.2019.8870159,ESEM2019
"Valentina Lenarduzzi, Teemu Orava, Nyyti Saarimäki, Kari Systä, Davide Taibi",An Empirical Study on Technical Debt in a Finnish SME.,10.1109/ESEM.2019.8870169,ESEM2019
"Márcia Lima, Iftekhar Ahmed, Tayana Conte, Elizamary Nascimento, Edson Oliveira, Bruno Gadelha",Land of Lost Knowledge - An Initial Investigation into Projects Lost Knowledge.,10.1109/ESEM.2019.8870171,ESEM2019
"Luciano Marchezan, Guilherme Bolfe, Elder de M. Rodrigues, Maicon Bernardino, Fabio Paulo Basso",Thoth - A Web-based Tool to Support Systematic Reviews.,10.1109/ESEM.2019.8870160,ESEM2019
"Marcelo Marinho, John Noll, Ita Richardson, Sarah Beecham",Plan-Driven Approaches Are Alive and Kicking in Agile Global Software Development.,10.1109/ESEM.2019.8870168,ESEM2019
"Rafael Maiani de Mello, Anderson G. Uchôa, Roberto Felicio Oliveira, Willian Nalepa Oizumi, Jairo Souza, Kleyson Mendes, Daniel Oliveira, Baldoino Fonseca, Alessandro Garcia",Do Research and Practice of Code Smell Identification Walk Together? A Social Representations Analysis.,10.1109/ESEM.2019.8870141,ESEM2019
"Gabriel Menezes, Bruno B. P. Cafeo, André C. Hora",Framework Code Samples - How Are They Maintained and Used by Developers?,10.1109/ESEM.2019.8870139,ESEM2019
"Nuthan Munaiah, Akond Rahman, Justin Pelletier, Laurie A. Williams, Andrew Meneely",Characterizing Attacker Behavior in a Cybersecurity Penetration Testing Competition.,10.1109/ESEM.2019.8870147,ESEM2019
