AUTHORS,TITLE,DOI,VENUE
"Elizamary de Souza Nascimento, Iftekhar Ahmed, Edson Oliveira, Márcio Piedade Palheta, Igor Steinmacher, Tayana Conte",Understanding Development Process of Machine Learning Systems - Challenges and Solutions.,10.1109/ESEM.2019.8870157,ESEM2019
"Marcos Felipe Carvalho Nazário, Eduardo Guerra, Rodrigo Bonifácio, Gustavo Pinto",Detecting and Reporting Object-Relational Mapping Problems - An Industrial Report.,10.1109/ESEM.2019.8870163,ESEM2019
"Edmilson Campos Neto, Daniel Alencar da Costa, Uirá Kulesza",Revisiting and Improving SZZ Implementations.,10.1109/ESEM.2019.8870178,ESEM2019
"Geraldo Torres G. Neto, Wylliams Barbosa Santos, Patricia Takako Endo, Roberta A. de A. Fagundes",Multivocal literature reviews in software engineering - Preliminary findings from a tertiary study.,10.1109/ESEM.2019.8870142,ESEM2019
"Raquel Andrade Barros Ouriques, Ricardo Britto, Krzysztof Wnuk, João Felipe S. Ouriques, Tony Gorschek",A Method to Evaluate Knowledge Resources in Agile Software Development.,10.1109/ESEM.2019.8870167,ESEM2019
"Moein Owhadi-Kareshk, Sarah Nadi, Julia Rubin",Predicting Merge Conflicts in Collaborative Software Development.,10.1109/ESEM.2019.8870173,ESEM2019
"Henrique Lemos Ribeiro, Roberto Paulo Andrioli de Araujo, Marcos Lordello Chaim, Higor Amario de Souza, Fabio Kon",Evaluating data-flow coverage in spectrum-based fault localization.,10.1109/ESEM.2019.8870182,ESEM2019
"Gilson Rocha, Fernando Castor, Gustavo Pinto",Comprehending Energy Behaviors of Java I/O APIs.,10.1109/ESEM.2019.8870158,ESEM2019
"Ingrid Signoretti, Sabrina Marczak, Larissa Salerno, Augusto de Lara, Ricardo Bastos",Boosting Agile by Using User-Centered Design and Lean Startup - A Case Study of the Adoption of the Combined Approach in Software Development.,10.1109/ESEM.2019.8870154,ESEM2019
Per Erik Strandberg,Ethical Interviews in Software Engineering.,10.1109/ESEM.2019.8870192,ESEM2019
