AUTHORS,TITLE,DOI,VENUE
"Jinkun Lin, Shaowei Cai, Chuan Luo, Qingwei Lin, Hongyu Zhang",Towards more efficient meta-heuristic algorithms for combinatorial test generation.,10.1145/3338906.3338914,FSE2018
"Mingwei Liu, Xin Peng, Andrian Marcus, Zhenchang Xing, Wenkai Xie, Shuangshuang Xing, Yang Liu",Generating query-specific class API summaries.,10.1145/3338906.3338971,FSE2018
"Pranay Lohia, Kalapriya Kannan, Biplav Srivastava, Sameep Mehta",Design diagrams as ontological source.,10.1145/3338906.3340446,FSE2018
Michail Loukeris,Efficient computing in a safe environment.,10.1145/3338906.3342491,FSE2018
"Yifei Lu, Minxue Pan, Juan Zhai, Tian Zhang, Xuandong Li",Preference-wise testing for Android applications.,10.1145/3338906.3338980,FSE2018
"Chandra Shekhar Maddila, Chetan Bansal, Nachiappan Nagappan",Predicting pull request completion time - a case study on large scale cloud services.,10.1145/3338906.3340457,FSE2018
Arthur Marques,Helping developers search and locate task-relevant information in natural language documents.,10.1145/3338906.3341459,FSE2018
Jorge Melegati,Improving requirements engineering practices to support experimentation in software startups.,10.1145/3338906.3341465,FSE2018
"Claudio Menghi, Shiva Nejati, Khouloud Gaaloul, Lionel C. Briand",Generating automated and online test oracles for Simulink models with continuous and uncertain behaviors.,10.1145/3338906.3338920,FSE2018
"Nima Miryeganeh, Mehdi Amoui, Hadi Hemmati",An IR-based approach towards automated integration of geo-spatial datasets in map-based software systems.,10.1145/3338906.3340454,FSE2018
