AUTHORS,TITLE,DOI,VENUE
"Antonio Gamez-Diaz, Pablo Fernandez, Antonio Ruiz-Cortés, Pedro J. Molina, Nikhil Kolekar, Prithpal Bhogill, Madhurranjan Mohaan, Francisco Méndez",The role of limitations and SLAs in the API industry.,10.1145/3338906.3340445,FSE2019
Davide Ginelli,Failure-driven program repair.,10.1145/3338906.3341464,FSE2019
Ilyuza Gizzatullina,Empirical study of customer communication problem in agile requirements engineering.,10.1145/3338906.3342511,FSE2019
Mehdi Golzadeh,Analysing socio-technical congruence in the package dependency network of Cargo.,10.1145/3338906.3342497,FSE2019
Sandra Greiner,On extending single-variant model transformations for reuse in software product line engineering.,10.1145/3338906.3341467,FSE2019
"Alejandro Guerrero, Rafael Fresno, An Ju, Armando Fox, Pablo Fernandez, Carlos Müller, Antonio Ruiz-Cortés",Eagle - a team practices audit framework for agile software development.,10.1145/3338906.3341181,FSE2019
"Muhammad Ali Gulzar, Shaghayegh Mardani, Madanlal Musuvathi, Miryung Kim",White-box testing of big data analytics with complex user-defined functions.,10.1145/3338906.3338953,FSE2019
Hao He,Understanding source code comments at large-scale.,10.1145/3338906.3342494,FSE2019
Haochen He,Tuning backfired? not (always) your fault - understanding and detecting configuration-related performance bugs.,10.1145/3338906.3342498,FSE2019
"Sen He, Glenna Manns, John Saunders, Wei Wang, Lori L. Pollock, Mary Lou Soffa",A statistics-based performance testing methodology for cloud applications.,10.1145/3338906.3338912,FSE2019
