AUTHORS,TITLE,DOI,VENUE
"Gustavo Pinto, Igor Wiese, Luiz Felipe Dias",How do scientists develop scientific software? An external replication.,10.1109/SANER.2018.8330263,SANER2018
"Muhammad Ahasanuzzaman, Muhammad Asaduzzaman, Chanchal K. Roy, Kevin A. Schneider",Classifying stack overflow posts on API issues.,10.1109/SANER.2018.8330213,SANER2018
"Rana Alkadhi, Manuel Nonnenmacher, Emitza Guzman, Bernd Bruegge",How do developers discuss rationale?,10.1109/SANER.2018.8330223,SANER2018
"Elvira-Maria Arvanitou, Apostolos Ampatzoglou, Alexander Chatzigeorgiou, Matthias Galster, Paris Avgeriou",A mapping study on design-time quality attributes and metrics (journal-first abstract).,10.1109/SANER.2018.8330240,SANER2018
"Lingfeng Bao, Tien-Duy B. Le, David Lo",Mining sandboxes - Are we there yet?,10.1109/SANER.2018.8330231,SANER2018
"Eduard van der Bent, Jurriaan Hage, Joost Visser, Georgios Gousios",How good is your puppet? An empirically defined and validated quality model for puppet.,10.1109/SANER.2018.8330206,SANER2018
"Leonard Peter Binamungu, Suzanne M. Embury, Nikolaos Konstantinou",Maintaining behaviour driven development specifications - Challenges and opportunities.,10.1109/SANER.2018.8330207,SANER2018
"Aline Brito, Laerte Xavier, André C. Hora, Marco Tulio Valente",Why and how Java developers break APIs.,10.1109/SANER.2018.8330214,SANER2018
"Aline Brito, Laerte Xavier, André C. Hora, Marco Tulio Valente",APIDiff - Detecting API breaking changes.,10.1109/SANER.2018.8330249,SANER2018
"Andreas Burger, Sten Grüner","FINALIsT2 - Feature identification, localization, and tracing tool.",10.1109/SANER.2018.8330254,SANER2018
