AUTHORS,TITLE,DOI,VENUE
"Giovanni Grano, Adelina Ciurumelea, Sebastiano Panichella, Fabio Palomba, Harald C. Gall",Exploring the integration of user feedback in automated testing of Android applications.,10.1109/SANER.2018.8330198,SANER2018
"Zhuobing Han, Xiaohong Li, Hongtao Liu, Zhenchang Xing, Zhiyong Feng",DeepWeak - Reasoning common software weaknesses via knowledge graph embedding.,10.1109/SANER.2018.8330232,SANER2018
"Md. Arafat Hossain, Steve Versteeg, Jun Han, Muhammad Ashad Kabir, Jiaojiao Jiang, Jean-Guy Schneider",Mining accurate message formats for service APIs.,10.1109/SANER.2018.8330215,SANER2018
"Md Rakibul Islam, Minhaz F. Zibran",A comparison of software engineering domain specific sentiment analysis tools.,10.1109/SANER.2018.8330245,SANER2018
"Nathan Jay, Barton P. Miller",Structured random differential testing of instruction decoders.,10.1109/SANER.2018.8330199,SANER2018
"Zhouyang Jia, Shanshan Li, Xiaodong Liu, Xiangke Liao, Yunhuai Liu",SMARTLOG - Place error log statement by deep understanding of log intention.,10.1109/SANER.2018.8330197,SANER2018
"Rodi Jolak, Khanh-Duy Le, Kaan Burak Sener, Michel R. V. Chaudron",OctoBubbles - A Multi-view interactive environment for concurrent visualization and synchronization of UML models and code.,10.1109/SANER.2018.8330244,SANER2018
"Chariton Karamitas, Athanasios Kehagias",Efficient features for function matching between binary executables.,10.1109/SANER.2018.8330221,SANER2018
"Deborah S. Katz, Jason Ruchti, Eric M. Schulte",Using recurrent neural networks for decompilation.,10.1109/SANER.2018.8330222,SANER2018
"Foutse Khomh, Yann-Gaël Guéhéneuc",Design patterns impact on software quality - Where are the theories?,10.1109/SANER.2018.8330193,SANER2018
