AUTHORS,TITLE,DOI,VENUE
"Serkan Kirbas, Bora Caglayan, Tracy Hall, Steve Counsell, David Bowes, Alper Sen, Ayse Bener",The relationship between evolutionary coupling and defects in large industrial software (journal-first abstract).,10.1109/SANER.2018.8330237,SANER2018
"Raula Gaikovina Kula, Coen De Roover, Daniel M. Germán, Takashi Ishio, Katsuro Inoue","A generalized model for visualizing library popularity, adoption, and diffusion within a software ecosystem.",10.1109/SANER.2018.8330217,SANER2018
"Daniel Kulesz, Verena Käfer, Stefan Wagner",Spreadsheet guardian - An approach to protecting semantic correctness throughout the evolution of spreadsheets (journal-first abstract).,10.1109/SANER.2018.8330242,SANER2018
"Marc-André Laverdière, Ettore Merlo",Detection of protection-impacting changes during software evolution.,10.1109/SANER.2018.8330230,SANER2018
"Maikel Leemans, Wil M. P. van der Aalst, Mark G. J. van den Brand",Recursion aware modeling and discovery for hierarchical software event log analysis.,10.1109/SANER.2018.8330208,SANER2018
"Maikel Leemans, Wil M. P. van der Aalst, Mark G. J. van den Brand",The Statechart Workbench - Enabling scalable software event log analysis using process mining.,10.1109/SANER.2018.8330248,SANER2018
"Heng Li, Weiyi Shang, Ahmed E. Hassan",Which log level should developers choose for a new logging statement? (journal-first abstract).,10.1109/SANER.2018.8330234,SANER2018
"Yang Li, Sandro Schulze, Gunter Saake",Extracting features from requirements - Achieving accuracy and automation with neural networks.,10.1109/SANER.2018.8330243,SANER2018
"Heng Li, Weiyi Shang, Ying Zou, Ahmed E. Hassan",Towards just-in-time suggestions for log changes (journal-first abstract).,10.1109/SANER.2018.8330233,SANER2018
"Jie Liang, Mingzhe Wang, Yuanliang Chen, Yu Jiang, Renwei Zhang",Fuzz testing in practice - Obstacles and solutions.,10.1109/SANER.2018.8330260,SANER2018
