AUTHORS,TITLE,DOI,VENUE
"Anh Tuan Nguyen, Trong Duc Nguyen, Hung Dang Phan, Tien N. Nguyen",A deep neural network language model with contexts for source code.,10.1109/SANER.2018.8330220,SANER2018
"Ehsan Noei, Mark D. Syer, Ying Zou, Ahmed E. Hassan, Iman Keivanloo",A study of the relation of mobile device attributes with the user-perceived quality of Android apps (journal-first abstract).,10.1109/SANER.2018.8330235,SANER2018
"Dario Di Nucci, Fabio Palomba, Damian A. Tamburri, Alexander Serebrenik, Andrea De Lucia",Detecting code smells using machine learning techniques - Are we there yet?,10.1109/SANER.2018.8330266,SANER2018
"Niels Groot Obbink, Ivano Malavolta, Gian Luca Scoccia, Patricia Lago",An extensible approach for taming the challenges of JavaScript dead code elimination.,10.1109/SANER.2018.8330226,SANER2018
"Naoto Ogura, Shinsuke Matsumoto, Hideaki Hata, Shinji Kusumoto",Bring your own coding style.,10.1109/SANER.2018.8330253,SANER2018
"Aikaterini Paltoglou, Vassilis E. Zafeiris, Emmanouel A. Giakoumakis, N. A. Diamantidis",Automated refactoring of client-side JavaScript code to ES6 modules.,10.1109/SANER.2018.8330227,SANER2018
"Luca Pascarella, Fabio Palomba, Alberto Bacchelli",Re-evaluating method-level bug prediction.,10.1109/SANER.2018.8330264,SANER2018
"Lucas Pelloni, Giovanni Grano, Adelina Ciurumelea, Sebastiano Panichella, Fabio Palomba, Harald C. Gall",BECLoMA - Augmenting stack traces with user review information.,10.1109/SANER.2018.8330252,SANER2018
"Rick Rabiser, Sam Guinea, Michael Vierhauser, Luciano Baresi, Paul Grünbacher",A comparison framework for runtime monitoring approaches (journal-first abstract).,10.1109/SANER.2018.8330238,SANER2018
"Chanchal K. Roy, James R. Cordy",Benchmarks for software clone detection - A ten-year retrospective.,10.1109/SANER.2018.8330194,SANER2018
