AUTHORS,TITLE,DOI,VENUE
Aleieldin Salem,GoldRusher - A miner for rapid identification of hidden code.,10.1109/SANER.2018.8330251,SANER2018
"Eddie Antonio Santos, Joshua Charles Campbell, Dhvani Patel, Abram Hindle, José Nelson Amaral",Syntax and sensibility - Using language models to detect and correct syntax errors.,10.1109/SANER.2018.8330219,SANER2018
"Rodrigo Fernandes Gomes da Silva, Klérisson Vinícius Ribeiro Paixão, Marcelo de Almeida Maia",Duplicate question detection in stack overflow - A reproducibility study.,10.1109/SANER.2018.8330262,SANER2018
"Victor Sobreira, Thomas Durieux, Fernanda Madeiral, Martin Monperrus, Marcelo de Almeida Maia",Dissection of a bug dataset - Anatomy of 395 patches from Defects4J.,10.1109/SANER.2018.8330203,SANER2018
"Mauricio Soto, Claire Le Goues",Using a probabilistic model to predict bug fixes.,10.1109/SANER.2018.8330211,SANER2018
"Patanamon Thongtanunam, Shane McIntosh, Ahmed E. Hassan, Hajimu Iida","Review participation in modern code review - An empirical study of the Android, Qt, and OpenStack projects (journal-first abstract).",10.1109/SANER.2018.8330241,SANER2018
"Nikolaos Tsantalis, Theodoros Chaikalis, Alexander Chatzigeorgiou",Ten years of JDeodorant - Lessons learned from the hunt for smells.,10.1109/SANER.2018.8330192,SANER2018
"Mario Linares Vásquez, Christopher Vendome, Michele Tufano, Denys Poshyvanyk",How developers micro-optimize Android apps (journal-first abstract).,10.1109/SANER.2018.8330236,SANER2018
"Carmine Vassallo, Sebastiano Panichella, Fabio Palomba, Sebastian Proksch, Andy Zaidman, Harald C. Gall",Context is king - The developer perspective on the usage of static analysis tools.,10.1109/SANER.2018.8330195,SANER2018
"Tijana Vislavski, Gordana Rakic, Nicolás Cardozo, Zoran Budimac",LICCA - A tool for cross-language clone detection.,10.1109/SANER.2018.8330250,SANER2018
