AUTHORS,TITLE,DOI,VENUE
"Bin Lin, Csaba Nagy, Gabriele Bavota, Michele Lanza",On the Impact of Refactoring Operations on Code Naturalness.,10.1109/SANER.2019.8667992,SANER2019
"Davide Arcelli, Vittorio Cortellessa, Daniele Di Pompeo",Automating Performance Antipattern Detection and Software Refactoring in UML Models.,10.1109/SANER.2019.8667967,SANER2019
"Usman Ashraf, Christoph Mayr-Dorn, Alexander Egyed",Mining Cross-Task Artifact Dependencies from Developer Interactions.,10.1109/SANER.2019.8667990,SANER2019
"Bence Barta, Gunter Manz, István Siket, Rudolf Ferenc",Challenges of SonarQube Plug-In Maintenance.,10.1109/SANER.2019.8667988,SANER2019
"Rodrigo Brito, Aline Brito, Gleison Brito, Marco Tulio Valente",GoCity - Code City for Go.,10.1109/SANER.2019.8668008,SANER2019
"Gleison Brito, Thaís Mombach, Marco Tulio Valente",Migrating to GraphQL - A Practical Assessment.,10.1109/SANER.2019.8667986,SANER2019
"Lutz Büch, Artur Andrzejak",Learning-Based Recursive Aggregation of Abstract Syntax Trees for Code Clone Detection.,10.1109/SANER.2019.8668039,SANER2019
"John Businge, Simon Kawuma, Moses Openja, Engineer Bainomugisha, Alexander Serebrenik",How Stable Are Eclipse Application Framework Internal Interfaces?,10.1109/SANER.2019.8668018,SANER2019
"John Businge, Moses Openja, David Kavaler, Engineer Bainomugisha, Foutse Khomh, Vladimir Filkov",Studying Android App Popularity by Cross-Linking GitHub and Google Play Store.,10.1109/SANER.2019.8667998,SANER2019
"Oscar Chaparro, Juan Manuel Florez, Unnati Singh, Andrian Marcus",Reformulating Queries for Duplicate Bug Report Detection.,10.1109/SANER.2019.8667985,SANER2019
