AUTHORS,TITLE,DOI,VENUE
"Qiu-Liang Chen, Jia-Ju Bai, Zu-Ming Jiang, Julia Lawall, Shi-Min Hu",Detecting Data Races Caused by Inconsistent Lock Protection in Device Drivers.,10.1109/SANER.2019.8668017,SANER2019
"Cong Chen, Yulong Yang, Lin Yang, Kang Zhang",A Human-as-Sensors Approach to API Documentation Integration and Its Effects on Novice Programmers.,10.1109/SANER.2019.8668026,SANER2019
"Muslim Chochlov, Michael English, Jim Buckley, Daniel Ilie, Maria Scanlon",Identifying Feature Clones - An Industrial Case Study.,10.1109/SANER.2019.8668041,SANER2019
"Fernanda Madeiral, Simon Urli, Marcelo de Almeida Maia, Martin Monperrus",BEARS - An Extensible Java Bug Benchmark for Automatic Program Repair Studies.,10.1109/SANER.2019.8667991,SANER2019
"Nicolas Dilley, Julien Lange",An Empirical Study of Messaging Passing Concurrency in Go Projects.,10.1109/SANER.2019.8668036,SANER2019
"Felipe Ebert, Fernando Castor, Nicole Novielli, Alexander Serebrenik","Confusion in Code Reviews - Reasons, Impacts, and Coping Strategies.",10.1109/SANER.2019.8668024,SANER2019
"Farima Farmahinifarahani, Vaibhav Saini, Di Yang, Hitesh Sajnani, Cristina V. Lopes",On Precision of Code Clone Detection Tools.,10.1109/SANER.2019.8668015,SANER2019
"Muyue Feng, Weixuan Mao, Zimu Yuan, Yang Xiao, Gu Ban, Wei Wang, Shiyang Wang, Qian Tang, Jiahuan Xu, He Su, Binghong Liu, Wei Huo",Open-Source License Violations of Binary Software at Large Scale.,10.1109/SANER.2019.8667977,SANER2019
"Sa Gao, Chunyang Chen, Zhenchang Xing, Yukun Ma, Wen Song, Shang-Wei Lin",A Neural Model for Method Name Generation from Functional Description.,10.1109/SANER.2019.8667994,SANER2019
"Jun Gao, Li Li, Pingfan Kong, Tegawendé F. Bissyandé, Jacques Klein",Should You Consider Adware as Malware in Your Study?,10.1109/SANER.2019.8668010,SANER2019
