AUTHORS,TITLE,DOI,VENUE
"Chenkai Guo, Dengrong Huang, Naipeng Dong, Quanqi Ye, Jing Xu, Yaqing Fan, Hui Yang, Yifan Xu",Deep Review Sharing.,10.1109/SANER.2019.8668037,SANER2019
"Chenkai Guo, Weijing Wang, Yanfeng Wu, Naipeng Dong, Quanqi Ye, Jing Xu, Sen Zhang",Systematic Comprehension for Developer Reply in Mobile System Forum.,10.1109/SANER.2019.8668016,SANER2019
Ahmed E. Hassan,Software engineering in a data science future (Keynote).,10.1109/SANER.2019.8667966,SANER2019
"Yangyu Hu, Haoyu Wang, Li Li, Yao Guo, Guoai Xu, Ren He",Want to Earn a Few Extra Bucks? A First Look at Money-Making Apps.,10.1109/SANER.2019.8668035,SANER2019
"Judith F. Islam, Manishankar Mondal, Chanchal K. Roy",A Comparative Study of Software Bugs in Micro-clones and Regular Code Clones.,10.1109/SANER.2019.8667993,SANER2019
"Ahmad Jbara, Mousa Agbaria, Alon Adoni, Malek Jabareen, Ameen Yasin",ICSD - Interactive Visual Support for Understanding Code Control Structure.,10.1109/SANER.2019.8667981,SANER2019
Zhi Jin,Forward and backward traceability - Requirements and challenges (Keynote).,10.1109/SANER.2019.8668021,SANER2019
"Hiroyuki Kirinuki, Haruto Tanno, Katsuyuki Natsukawa",COLOR - Correct Locator Recommender for Broken Test Scripts using Various Clues in Web Application.,10.1109/SANER.2019.8667976,SANER2019
"Wenjie Li, Yanyan Jiang, Chang Xu, Yepang Liu, Xiaoxing Ma, Jian Lu",Characterizing and Detecting Inefficient Image Displaying Issues in Android Apps.,10.1109/SANER.2019.8668030,SANER2019
"Bodong Li, Yuanyuan Zhang, Juanru Li, Runhan Feng, Dawu Gu",APPCOMMUNE - Automated Third-Party Libraries De-duplicating and Updating for Android Apps.,10.1109/SANER.2019.8668009,SANER2019
