AUTHORS,TITLE,DOI,VENUE
"Kui Liu, Anil Koyuncu, Dongsun Kim, Tegawendé F. Bissyandé",AVATAR - Fixing Semantic Bugs with Fix Patterns of Static Analysis Violations.,10.1109/SANER.2019.8667970,SANER2019
"Jie Lu, Liu Chen, Lian Li, Xiaobing Feng",Understanding Node Change Bugs for Distributed Systems.,10.1109/SANER.2019.8668027,SANER2019
"Fuchen Ma, Ying Fu, Meng Ren, Mingzhe Wang, Yu Jiang, Kaixiang Zhang, Huizhong Li, Xiang Shi",EVM* - From Offline Detection to Online Reinforcement for Ethereum Virtual Machine.,10.1109/SANER.2019.8668038,SANER2019
"Lei Ma, Felix Juefei-Xu, Minhui Xue, Bo Li, Li Li, Yang Liu, Jianjun Zhao",DeepCT - Tomographic Combinatorial Testing for Deep Learning Systems.,10.1109/SANER.2019.8668044,SANER2019
"Mehran Mahmoudi, Sarah Nadi, Nikolaos Tsantalis",Are Refactorings to Blame? An Empirical Study of Refactorings in Merge Conflicts.,10.1109/SANER.2019.8668012,SANER2019
"Hiroyuki Matsuo, Shinsuke Matsumoto, Yoshiki Higo, Shinji Kusumoto",Madoop - Improving Browser-Based Volunteer Computing Based on Modern Web Technologies.,10.1109/SANER.2019.8668014,SANER2019
"Hugo Melo, Roberta Coelho, Christoph Treude",Unveiling Exception Handling Guidelines Adopted by Java Developers.,10.1109/SANER.2019.8668001,SANER2019
"Bryan J. Muscedere, Robert Hackman, Davood Anbarnam, Joanne M. Atlee, Ian J. Davis, Michael W. Godfrey",Detecting Feature-Interaction Symptoms in Automotive Software using Lightweight Analysis.,10.1109/SANER.2019.8668042,SANER2019
"Bui D. Q. Nghi, Yijun Yu, Lingxiao Jiang",Bilateral Dependency Neural Networks for Cross-Language Algorithm Classification.,10.1109/SANER.2019.8667995,SANER2019
"Yunior Pacheco, Jonas De Bleser, Tim Molderez, Dario Di Nucci, Wolfgang De Meuter, Coen De Roover",Mining Scala Framework Extensions for Recommendation Patterns.,10.1109/SANER.2019.8668019,SANER2019
