AUTHORS,TITLE,DOI,VENUE
"Rajshakhar Paul, Amiangshu Bosu, Kazi Zakia Sultana",Expressions of Sentiments during Code Reviews - Male vs. Female.,10.1109/SANER.2019.8667987,SANER2019
"Davide Pizzolotto, Roberto Fellin, Mariano Ceccato",OBLIVE - Seamless Code Obfuscation for Java Programs and Android Apps.,10.1109/SANER.2019.8667982,SANER2019
"Angel Luis Scull Pupo, Jens Nicolay, Kyriakos Efthymiadis, Ann Nowé, Coen De Roover, Elisa Gonzalez Boix",GUARDIAML - Machine Learning-Assisted Dynamic Information Flow Control.,10.1109/SANER.2019.8667979,SANER2019
"Xiaofang Qi, Huayang Zhou",A Splitting Strategy for Testing Concurrent Programs.,10.1109/SANER.2019.8668040,SANER2019
"Luyao Ren, Shurui Zhou, Christian Kästner, Andrzej Wasowski",Identifying Redundancies in Fork-based Development.,10.1109/SANER.2019.8668023,SANER2019
"Wasim Said, Jochen Quante, Rainer Koschke",Towards Understandable Guards of Extracted State Machines from Embedded Software.,10.1109/SANER.2019.8667983,SANER2019
"Puneet Kaur Sidhu, Gunter Mussbacher, Shane McIntosh",Reuse (or Lack Thereof) in Travis CI Specifications - An Empirical Study of CI Phases and Commands.,10.1109/SANER.2019.8668029,SANER2019
"Giancarlo Sierra, Ahmad Tahmid, Emad Shihab, Nikolaos Tsantalis",Is Self-Admitted Technical Debt a Good Indicator of Architectural Divergences?,10.1109/SANER.2019.8667999,SANER2019
"Khashayar Etemadi Someoliayi, Sajad Jalali, Mostafa Mahdieh, Seyed-Hassan Mirian-Hosseinabadi",Program State Coverage - A Test Coverage Metric Based on Executed Program States.,10.1109/SANER.2019.8667968,SANER2019
"Peng Sun, Chris Brown, Ivan Beschastnikh, Kathryn T. Stolee",Mining Specifications from Documentation using a Crowd.,10.1109/SANER.2019.8668025,SANER2019
