AUTHORS,TITLE,DOI,VENUE
"Hannes Thaller, Lukas Linsbauer, Alexander Egyed",Feature Maps - A Comprehensible Software Representation for Design Pattern Detection.,10.1109/SANER.2019.8667978,SANER2019
"Benoît Verhaeghe, Anne Etien, Nicolas Anquetil, Abderrahmane Seriai, Laurent Deruelle, Stéphane Ducasse, Mustapha Derras",GUI Migration using MDE from GWT to Angular 6 - An Industrial Case.,10.1109/SANER.2019.8667989,SANER2019
"Peipei Wang, Gina R. Bai, Kathryn T. Stolee",Exploring Regular Expression Evolution.,10.1109/SANER.2019.8667972,SANER2019
"Yanhao Wang, Zheng Leong Chua, Yuwei Liu, Purui Su, Zhenkai Liang",Fuzzing Program Logic Deeply Hidden in Binary Program Stages.,10.1109/SANER.2019.8668022,SANER2019
"Xinyu Wang, David Lo, Emad Shihab, Xin Xia","Message from the General Chair, Program Co-Chairs, and Local Chair.",10.1109/SANER.2019.8668011,SANER2019
"Xingya Wang, Haoran Wu, Weisong Sun, Yuan Zhao",Towards Generating Cost-Effective Test-Suite for Ethereum Smart Contract.,10.1109/SANER.2019.8668020,SANER2019
"Tong Wang, Dongdong Wang, Ying Zhou, Bixin Li",Software Multiple-Level Change Detection Based on Two-Step MPAT Matching.,10.1109/SANER.2019.8667980,SANER2019
"Martin White, Michele Tufano, Matias Martinez, Martin Monperrus, Denys Poshyvanyk",Sorting and Transforming Program Repair Ingredients via Deep Learning Code Similarities.,10.1109/SANER.2019.8668043,SANER2019
Jon Whittle,Does your software value what you value? (Keynote).,10.1109/SANER.2019.8668005,SANER2019
"Leszek Wlodarski, Boris Pereira, Ivan Povazan, Johan Fabry, Vadim Zaytsev",Qualify First! A Large Scale Modernisation Report.,10.1109/SANER.2019.8668006,SANER2019
