AUTHORS,TITLE,DOI,VENUE
"Marco Couto, João Saraiva, João Paulo Fernandes",Energy Refactorings for Android in the Large and in the Wild.,10.1109/SANER48275.2020.9054858,SANER2020
"Yan Cai, Yutian Tang, Haicheng Li, Le Yu, Hao Zhou, Xiapu Luo, Liang He, Purui Su",Resource Race Attacks on Android.,10.1109/SANER48275.2020.9054863,SANER2020
"Michael Rath, Mihaela Todorova Tomova, Patrick Mäder",SpojitR - Intelligently Link Development Artifacts.,10.1109/SANER48275.2020.9054839,SANER2020
"Pietro Abate, Roberto Di Cosmo, Georgios Gousios, Stefano Zacchiroli","Dependency Solving Is Still Hard, but We Are Getting Better at It.",10.1109/SANER48275.2020.9054837,SANER2020
"Ariel Afonso, Altigran Soares da Silva, Tayana Conte, Paulo Martins, João M. B. Cavalcanti, Alessandro Garcia",LESSQL - Dealing with Database Schema Changes in Continuous Deployment.,10.1109/SANER48275.2020.9054796,SANER2020
"Basma S. Alqadi, Jonathan I. Maletic",Slice-Based Cognitive Complexity Metrics for Defect Prediction.,10.1109/SANER48275.2020.9054836,SANER2020
"Kijin An, Eli Tilevich",D-Goldilocks - Automatic Redistribution of Remote Functionalities for Performance and Efficiency.,10.1109/SANER48275.2020.9054870,SANER2020
"Muhammad Hilmi Asyrofi, Ferdian Thung, David Lo, Lingxiao Jiang",AUSearch - Accurate API Usage Search in GitHub Repositories with Type Resolution.,10.1109/SANER48275.2020.9054809,SANER2020
"Marcus Vinicius Bertoncello, Gustavo Pinto, Igor Scaliante Wiese, Igor Steinmacher",Pull Requests or Commits? Which Method Should We Use to Study Contributors' Behavior?,10.1109/SANER48275.2020.9054855,SANER2020
"Árpád Beszédes, Ferenc Horváth, Massimiliano Di Penta, Tibor Gyimóthy",Leveraging Contextual Information from Function Call Chains to Improve Fault Localization.,10.1109/SANER48275.2020.9054820,SANER2020
