AUTHORS,TITLE,DOI,VENUE
Cynthia Dookie,Building an Inclusive Distributed Ledger System.,10.1109/SANER48275.2020.9054867,SANER2020
"Zachary Eberhart, Alexander LeClair, Collin McMillan",Automatically Extracting Subroutine Summary Descriptions from Unstructured Comments.,10.1109/SANER48275.2020.9054789,SANER2020
"Felipe Ebert, Fernando Castor, Alexander Serebrenik","A Reflection on ""An Exploratory Study on Exception Handling Bugs in Java Programs"".",10.1109/SANER48275.2020.9054791,SANER2020
"Filipe Falcão, Caio Barbosa, Baldoino Fonseca, Alessandro Garcia, Márcio Ribeiro, Rohit Gheyi","On Relating Technical, Social Factors, and the Introduction of Bugs.",10.1109/SANER48275.2020.9054824,SANER2020
"Pascal Gadient, Mohammad Ghafari, Marc-Andrea Tarnutzer, Oscar Nierstrasz",Web APIs in Android through the Lens of Security.,10.1109/SANER48275.2020.9054850,SANER2020
"Verena Geist, Michael Moser, Josef Pichler, Stefanie Beyer, Martin Pinzger",Leveraging Machine Learning for Software Redocumentation.,10.1109/SANER48275.2020.9054838,SANER2020
"Johannes Härtel, Ralf Lämmel",Incremental Map-Reduce on Repository History.,10.1109/SANER48275.2020.9054811,SANER2020
"Yalda Hashemi, Maleknaz Nayebi, Giuliano Antoniol",Documentation of Machine Learning Software.,10.1109/SANER48275.2020.9054844,SANER2020
"Mohammadreza Hazhirpasand, Mohammad Ghafari, Oscar Nierstrasz",CryptoExplorer - An Interactive Web Platform Supporting Secure Use of Cryptography APIs.,10.1109/SANER48275.2020.9054799,SANER2020
"Mingzhe Hu, Yu Zhang","The Python/C API - Evolution, Usage Statistics, and Bug Patterns.",10.1109/SANER48275.2020.9054835,SANER2020
