AUTHORS,TITLE,DOI,VENUE
"Qing Huang, An Qiu, Maosheng Zhong, Yuan Wang",A Code-Description Representation Learning Model Based on Attention.,10.1109/SANER48275.2020.9054830,SANER2020
"Syed Fatiul Huq, Ali Zafar Sadiq, Kazi Sakib",Is Developer Sentiment Related to Software Bugs - An Exploratory Study on GitHub Commits.,10.1109/SANER48275.2020.9054801,SANER2020
"Dae-Kyoo Kim, Hua Ming, Lunjin Lu",Reflection on Building Hybrid Access Control by Configuring RBAC and MAC Features.,10.1109/SANER48275.2020.9054862,SANER2020
"Rrezarta Krasniqi, Jane Cleland-Huang",Enhancing Source Code Refactoring Detection with Explanations from Commit Messages.,10.1109/SANER48275.2020.9054816,SANER2020
"Valentina Lenarduzzi, Francesco Lomio, Heikki Huttunen, Davide Taibi",Are SonarQube Rules Inducing Bugs?,10.1109/SANER48275.2020.9054821,SANER2020
"Guangjie Li, Hui Liu, Jiahao Jin, Qasim Umer",Deep Learning Based Identification of Suspicious Return Statements.,10.1109/SANER48275.2020.9054826,SANER2020
"Guanhua Li, Yijian Wu, Chanchal K. Roy, Jun Sun, Xin Peng, Nanjie Zhan, Bin Hu, Jingyi Ma",SAGA - Efficient and Large-Scale Detection of Near-Miss Clones with GPU Acceleration.,10.1109/SANER48275.2020.9054832,SANER2020
"Hongliang Liang, Lin Jiang, Lu Ai, Jinyi Wei",Sequence Directed Hybrid Fuzzing.,10.1109/SANER48275.2020.9054807,SANER2020
Lannan Luo,Heap Memory Snapshot Assisted Program Analysis for Android Permission Specification.,10.1109/SANER48275.2020.9054795,SANER2020
"Fang Lv, Hao Li, Lei Wang, Ying Liu, Huimin Cui, Jingling Xue, Xiaobing Feng",Referee - A Pattern-Guided Approach for Auto Design in Compiler-Based Analyzers.,10.1109/SANER48275.2020.9054849,SANER2020
