AUTHORS,TITLE,DOI,VENUE
"Alvi Mahadi, Karan Tongay, Neil A. Ernst",Cross-Dataset Design Discussion Mining.,10.1109/SANER48275.2020.9054792,SANER2020
"Daniel San Martín, Bento R. Siqueira, Valter Vieira de Camargo, Fabiano Cutigi Ferrari",Characterizing Architectural Drifts of Adaptive Systems.,10.1109/SANER48275.2020.9054856,SANER2020
"Leonel Merino, Mircea Lungu, Christoph Seidl",Unleashing the Potentials of Immersive Augmented Reality for Software Engineering.,10.1109/SANER48275.2020.9054812,SANER2020
"Manishankar Mondal, Banani Roy, Chanchal K. Roy, Kevin A. Schneider",Associating Code Clones with Association Rules for Change Impact Analysis.,10.1109/SANER48275.2020.9054846,SANER2020
"Manishankar Mondal, Banani Roy, Chanchal K. Roy, Kevin A. Schneider",HistoRank - History-Based Ranking of Co-change Candidates.,10.1109/SANER48275.2020.9054869,SANER2020
"Arjan J. Mooij, Jeroen Ketema, Steven Klusener, Mathijs Schuts",Reducing Code Complexity through Code Refactoring and Model-Based Rejuvenation.,10.1109/SANER48275.2020.9054823,SANER2020
"Sarah Nadi, Christoph Treude",Essential Sentences for Navigating Stack Overflow Answers.,10.1109/SANER48275.2020.9054828,SANER2020
"Hajra Naeem, Manar H. Alalfi",Identifying Vulnerable IoT Applications using Deep Learning.,10.1109/SANER48275.2020.9054817,SANER2020
"Romulo Nascimento, Aline Brito, André C. Hora, Eduardo Figueiredo",JavaScript API Deprecation in the Wild - A First Assessment.,10.1109/SANER48275.2020.9054854,SANER2020
"Kunihiro Noda, Yusuke Nemoto, Keisuke Hotta, Hideo Tanida, Shinji Kikuchi",Experience Report - How Effective is Automated Program Repair for Industrial Software?,10.1109/SANER48275.2020.9054829,SANER2020
